Year;Country;Performer;Song;Composers;Lyricists;Lyrics.length.category
1978;Germany;Ireen Sheer;Feuer;Jean Frankfurter;John Möring;Long
1978;Luxembourg;Baccara;Parlez-vous Français?;Rolf Soja;Frank Dostal,Péter Zentner;Very long
1978;Greece;Tania Tsanaklidou;Charlie Chaplin;Sakis Tsilikis;Yannis Xanthulis;Short
1978;Spain;José Vélez;Bailemos Un Vals;Manuel de la Calva,Ramón Arcusa;Unknown;Long
1978;Switzerland;Carole Vinci;Vivre;Alain Morisod;Pierre Alain;Short
1978;United Kingdom;Co-Co;The Bad Old Days;Stephanie de Sykes,Stuart Slater;Unknown;Long
1978;Italy;Ricchi e Poveri;Questo Amore;Dario Farina,Mauro Lusini;Sergio Bardotti;Short
1978;The Netherlands;Harmony;'t Is Ok;Eddy Ouwens;Dick Kooiman,Toon Gispen;Middle
1978;Sweden;Björn Skifs;Det Blir Alltid Värre Framåt Natten;Peter Himmelstrand;Unknown;Short
1978;Austria;Springtime;Mrs. Caroline Robinson;Gerhard Markel,Walter Markel;Gerhard Markel,Norbert Niedermayer,Walter Markel;Long
1978;Denmark;Mabel;Boom Boom;Andy Kulmbak,Christian Have,Michael Trempenau,Peter Nielsen;Unknown;Very long
1978;Portugal;Gemini;Dai-li-dou;Vítor Mamede;Carlos Quintas;Long
1978;Finland;Seija Simola;Anna Rakkaudelle Tilaisuus;Reijo Karvonen;Reijo Karvonen,Seija Simola;Middle
1978;Turkey;Nazar;Sevince;Dağhan Baydur,Onno Tunç;Hulki Aktunç;Short
1978;Norway;Jahn Teigen;Mil Etter Mil;Kai Eide;Unknown;Short
1979;Israel;Milk and Honey;Hallelujah;Kobi Oshrat;Shimrit Orr;Short
1979;Spain;Betty Missiego;Su Canción;Fernando Moreno;Unknown;Middle
1979;France;Anne-Marie David;Je Suis L'enfant-soleil;Eddy Marnay;Hubert Giraud;Long
1979;Germany;Dschinghis Khan;Unknown;Ralph Siegel;Gunter Johansen;Very long
1979;Ireland;Cathal Dunne;Happy Man;Cathal Dunne;Unknown;Middle
1979;Denmark;Tommy Seebach;Disco Tango;Tommy Seebach;Keld Heick;Short
1979;United Kingdom;Black Lace;Mary Ann;Peter Morris;Unknown;Very long
1979;Greece;Elpida;Socrati;Doros Georgiadis;Sofia Tsotu;Long
1979;Portugal;Manuela Bravo;Sobe, Sobe, Balão Sobe;Carlos Nóbrega e Sousa;Unknown;Long
1979;Switzerland;Peter, Sue and Marc and Pfuri, Gorps and Kniri;Trödler Und Co.;Peter Reber;Unknown;Middle
1979;Norway;Anita Skorgan;Oliver;Anita Skorgan;Philip A. Kruse;Long
1979;The Netherlands;Xandra;Colorado;Rob Bolland;Ferdi Bolland,Gerard Cox;Short
1979;Luxembourg;Jeane Manson;J'ai Déjà Vu ça Dans Tes Yeux;Jean Renard;Unknown;Short
1979;Finland;Katri-Helena;Katson Sineen Taivaan;Matti Kalevi Siitonen;Veikko 'Vexi' Salmi;Short
1979;Italy;Matia Bazar;Raggio Di Luna;Antonella Ruggiero,Carlo Marrale,Piero Cassano;Giancarlo Golzi,Salvatore Stellita;Short
1979;Monaco;Laurent Vaguener;Notre Vie, C'est La Musique;Jean Baudlot,Paul de Senneville;Didier Barbelivien,Jean Albertini;Middle
1979;Sweden;Ted Gärdestad;Satellit;Ted Gärdestad;Kenneth Gärdestad;Long
1979;Belgium;Micha Marah;Hey Nana;Charles Dumolin;Guy Beyers;Long
1979;Austria;Christina Simon;Heute In Jerusalem;Peter Wolf;André Heller;Very short
1980;Ireland;Johnny Logan;What's Another Year;Shay Healy;Unknown;Short
1980;Germany;Katja Ebstein;Theater;Ralph Siegel;Gunter Johansen;Long
1980;United Kingdom;Prima Donna;Love Enough For Two;Stephanie de Sykes,Stuart Slater;Unknown;Long
1980;Switzerland;Paola;Cinéma;Peter Reber;Peter Reber,Véronique Müller;Long
1980;The Netherlands;Maggie MacNeal;Amsterdam;Frans Smit,Sjoukje Smit-van 't Spijker,Robert Verwey;Alex Alberts;Short
1980;Italy;Alan Sorrenti;Non So Che Darei;Alan Sorrenti;Unknown;Middle
1980;Portugal;José Cid;Um Grande, Grande Amor;José Cid;Unknown;Long
1980;Austria;Blue Danube;Du Bist Musik;Klaus Peter Sattler;Unknown;Middle
1980;Luxembourg;Sophie and Magaly;Papa Pingouin;Gunter Johansen,Ralph Siegel;Jean-Paul Cara,Pierre Delanoë;Very long
1980;Sweden;Tomas Ledin;Just Nu!;Tomas Ledin;Unknown;Long
1980;France;Profil;Hé, Hé M'sieurs Dames;Sylvano Santorio;Richard de Bordeaux,Richard Joffo;Very long
1980;Spain;Trigo Limpio;Quédate Esta Noche;José Antonio Martin;Unknown;Long
1980;Greece;Anna Vissi and the Epikouri;Otostop;Jick Nacassian;Rony Sofu;Middle
1980;Denmark;Bamses Venner;Tænker Altid På Dig;Bjarne Gren Jensen;Flemming Bamse Jørgensen;Short
1980;Turkey;Ajda Pekkan;Petr'oil;Atilla Özdemiroğlu;Şanar Yurdatapan;Long
1980;Norway;Sverre Kjellsberg & Mattis Hætta;Sámiid Ædnan;Sverre Kjelsberg;Ragnar Olsen;Very short
1980;Belgium;Telex;Euro-vision;Dan Lacksman,Marc Moulin,Michel Moers;Unknown;Very short
1980;Morocco;Samira Bensaïd;Bitakat Hob;'Abd Al-'Atī Amyna;Malw Rawan;Short
1980;Finland;Vesa-Matti Loiri;Huilumies;Aarno Raninen;Veikko 'Vexi' Salmi;Middle
1981;United Kingdom;Bucks Fizz;Making Your Mind Up;John Danter;Andy Hill;Very long
1981;Germany;Lena Valaitis;Johnny Blue;Ralph Siegel;Gunter Johansen;Long
1981;France;Jean Gabilou;Humanahum;Jean-Paul Cara;Joe Gracy;Long
1981;Switzerland;Peter, Sue and Marc;Io Senza Tei;Peter Reber;Nella Martinetti,Peter Reber;Very short
1981;Ireland;Sheeba;Horoscopes;Jim Kelly;Joe Burkett;Very long
1981;Cyprus;Island;Monika;Doros Georgiadis;Stavros Sideras;Middle
1981;Israel;Habibi;Halaylah;Shuki Levy;Shlomit Aharon,Yuval Dor;Middle
1981;Greece;Yiannis Dimitras;Feggari Kalokerino;Giorgos Niachros;Yiannis Dimitras;Very short
1981;The Netherlands;Linda Williams;Het Is Een Wonder;Cees de Wit;Bart van de Laar;Long
1981;Sweden;Björn Skifs;Fångad I En Dröm;Bengt Palmers,Björn Skifs;Unknown;Middle
1981;Luxembourg;Jean-Claude Pascal;C'est Peut-être Pas L'Amérique;Jean-Claude Pascal,Jean-Claude Petit,Sophie Makhno;Unknown;Middle
1981;Denmark;Debbie Cameron and Tommy Seebach;Krøller Eller Ej;Tommy Seebach;Keld Heick;Short
1981;Belgium;Emly Starr;Samson;Giuseppe Marchese,Kick Dandy;Kick Dandy,Penny Els;Short
1981;Spain;Bacchelli;Y Solo Tú;Amado Jaen;Unknown;Long
1981;Yugoslavia;Seid-Memic Vajta;Leila;Ranko Boban;Unknown;Very short
1981;Finland;Riki Sorsa;Reggae O.k.;Jim Pembroke;Olli Ojala;Short
1981;Austria;Marty Brem;Wenn Du Da Bist;Werner Böhmler;Unknown;Long
1981;Turkey;Modern Folk Trio and Aysegül;Dönme Dolap;Ali Kocatepe;Unknown;Short
1981;Portugal;Carlos Paião;Play-back;Carlos Paião;Unknown;Very long
1981;Norway;Finn Kalvik;Aldri i Livet;Finn Kalvik;Unknown;Middle
1982;Germany;Nicole;Ein Bißchen Frieden;Ralph Siegel;Gunter Johansen;Very long
1982;Israel;Avi Toledano;Hora;Avi Toledano;Yoram Taharlev;Middle
1982;Switzerland;Arlette Zola;Amour On T'aime;Alain Morisod;Pierre Alain;Middle
1982;Belgium;Stella;Si Tu Aimes Ma Musique;Bobott,Fred Bekky,Rony Brack;Jo May;Middle
1982;Cyprus;Anna Vissi;Mono I Agapi;Anna Vissi;Unknown;Very short
1982;Luxembourg;Svetlana;Cour Apres Le Temps;Cyril Assous;Michel Jouveaux;Very long
1982;United Kingdom;Bardo;One Step Further;Simon Jefferies;Unknown;Very long
1982;Sweden;Chips;Dag Efter Dag;Lasse Holm;Monica Forsberg;Middle
1982;Austria;Mess;Sonntag;Michael Mell;Rudolf Leve;Very long
1982;Spain;Lucía;Él;Francisco 'Paco' Cepero;Ignacio Román;Middle
1982;Ireland;The Duskeys;Here Today, Gone Tomorrow;Sally Keating;Unknown;Very long
1982;Norway;Jahn Teigen & Anita Skorgan;Adieu;Jahn Teigen;Herodes Falsk;Very short
1982;Portugal;Doce;Bem-bom;António Pinho,Pedro Brito,Tozé Brito;Unknown;Long
1982;Yugoslavia;Aska;Halo Halo;Aleksandar Ilić;Miro Zec;Short
1982;Turkey;Neço;Hani;Olcayto Ahmet Tuğsuz;Faik Tuğsuz,Olcayto Ahmet Tuğsuz;Middle
1982;The Netherlands;Bill van Dijk;Jij En Ik;Dick Bakker;Liselore Gerritsen;Middle
1982;Denmark;Brixx;Video-video;Jens Brixtofte;Unknown;Middle
1982;Finland;Kojo;Nuku Pommiin;Jim Pembroke;Juice Leskinen;Long
1983;Luxembourg;Corinne Hermès;Si La Vie Est Cadeau;Jean-Pierre Millers;Alain Garcia;Short
1983;Israel;Ofra Haza;Hi;Avi Toledano;Ehud Manor;Long
1983;Sweden;Carola Häggkvist;Främling;Lasse Holm;Monica Forsberg;Middle
1983;Yugoslavia;Danijel;Dzuli;Milan Popović;Mario Mihaljević;Very short
1983;Germany;Hoffmann und Hoffmann;Rücksicht;Michael Reinecke;Volker Lechtenbrinck;Middle
1983;United Kingdom;Sweet Dreams;I'm Never Giving Up;Jan Pulsford,Phil Wigger,Ron Roker;Unknown;Middle
1983;The Netherlands;Bernadette;Sing Me A Song;Piet Souer;Martin Duiser;Middle
1983;France;Guy Bonnet;Vivre;Guy Bonnet;Fulbert Cant;Middle
1983;Norway;Jahn Teigen;Do Re Mi;Anita Skorgan,Jahn Teigen;Herodes Falsk,Jahn Teigen;Short
1983;Austria;Westend;Hurricane;Peter Vieweger;Heinz Nessizius,Heli Deinboek;Middle
1983;Italy;Riccardo Fogli;Per Lucia;Maurizio Fabrizio;Riccardo Fogli,Vincenzo Spampinato;Middle
1983;Finland;Ami Aspelund;Fantasiaa;Kari Kuusamo;Kaisu Liuhala;Long
1983;Portugal;Armando Gama;Esta Balada Que Te Dou;Armando Gama;Unknown;Middle
1983;Greece;Christie Stassinopoulou;Mou Les;Antonis Plessas;Sofia Fildisi;Short
1983;Switzerland;Mariella Farré;Io Così Non Ci Sto;Remo Kessler,Thomas Gonzenbach;Nella Martinetti;Middle
1983;Cyprus;Stavros and Constantina;I Agapi Akoma Zi;Stavros Sideras;Unknown;Short
1983;Denmark;Gry Johansen;Kloden Drejer;Christian Jacobsen,Flemming Gernyx,Lars Christensen;Billy Cross,Christian Jacobsen,Flemming Gernyx;Short
1983;Belgium;Pas de Deux;Rendez-vous;Walter Verdin;Paul Peyskens,Walter Verdin;Very short
1983;Turkey;Çetin Alp and the Short Wave;Opera;Buğra Uğur;Aysel Gürel;Short
1983;Spain;Remedios Amaya;¿Quién Maneja Mi Barca?;José Miguel Evóras;Isidro Muñoz;Very long
1984;Sweden;Herrey's;Diggi-loo Diggy-ley;Torgny Söderberg;Britt Lindeborg;Long
1984;Ireland;Linda Martin;Terminal '3';Johnny Logan;Unknown;Very long
1984;Spain;Bravo;Lady, Lady;Miguel Blasco;Amaya Saizar;Long
1984;Denmark;Hot Eyes;Det' Lige Det;Søren Bundgaard;Keld Heick;Very long
1984;Belgium;Jacques Zegers;Avanti La Vie;Henri Seroka;Jacques Zegers;Short
1984;Italy;Alice and Battiato;I Treni Di Tozeur;Franco Battiato;Giusto Pio,Rosario Consentino;Short
1984;United Kingdom;Belle and the Devotions;Love Games;Graham Sacher,Paul Curtis;Unknown;Very long
1984;France;Annick Thoumazeau;Autant D'amoureux Que D'étoiles;Vladimir Kosma;Charles Level;Long
1984;Finland;Kirka;Hengaillaan;Jukka Siikavire;Jussi Tuominen;Middle
1984;Luxembourg;Sophie Carle;100% D'amour;Jean-Pierre Goussaud;Jean-Michel Beriat,Patrick James;Middle
1984;Portugal;Maria Guinot;Silêncio E Tanta Gente;Maria Guinot;Unknown;Middle
1984;Turkey;Bes Yil Önce, On Yil Sonra;Halay;Selçuk Başar;Ülkü Aker;Middle
1984;The Netherlands;Maribelle;Ik Hou Van Jou;Peter van Asten,Richard Debois;Unknown;Very short
1984;Germany;Mary Roos;Aufrecht Geh'n;Michael Reinecke;Michael Kunze;Middle
1984;Cyprus;Andy Paul;Anna Maria Lena;Andy Paul;Unknown;Very short
1984;Switzerland;Rainy Day;Welche Farbe Hat Der Sonnenschein;Günter Loose;Unknown;Short
1984;Norway;Dollie de Luxe;Lenge Leve Livet;Benedicte Adrian,Ingrid Bjørnov;Unknown;Middle
1984;Yugoslavia;Vlado and Isolda;Ciao Amore;Slobodan Bućevac;Milan Perić;Short
1984;Austria;Anita;Einfach Weg;Brigitte Seuberth;Walter Müller;Middle
1985;Norway;Bobbysocks;La Det Swinge;Rolf Løvland;Unknown;Short
1985;Germany;Wind;Für Alle;Hanne Haller;Unknown;Middle
1985;Sweden;Kikki Danielsson;Bra Vibrationer;Lasse Holm;Ingela Forsman;Long
1985;United Kingdom;Vikki;Love Is...;James Kaleth,Vikki Watson;Unknown;Very long
1985;Israel;Izhar Cohen;Olé Olé;Kobi Oshrat;Hamutal Ben Zeev;Middle
1985;Ireland;Maria Christian;Wait Until The Weekend Comes;Brendan J. Graham;Unknown;Short
1985;Italy;Al Bano and Romina Power;Magic, Oh Magic;Dario Farina,Michael Hoffmann;Cristiano Minellono;Middle
1985;Austria;Gary Lux;Kinder Dieser Welt;Geoff Bastow,Mick Jackson;Michael Kunze;Long
1985;Finland;Sonja Lumme;Eläköön Elämä;Petri Laaksonen;Veli-Pekka Lehto;Middle
1985;France;Roger Bens;Femme Dans Ses Rêves Aussi;Didier Pascalis;Unknown;Middle
1985;Denmark;Hot Eyes;Sku' Du Spør Fra No'n;Søren Bundgaard;Keld Heick;Very long
1985;Switzerland;Mariella Farré and Pino Gasparini;Piano Piano;Anita Kerr;Trudi Müller-Bosshard;Long
1985;Luxembourg;Margo, Franck, Diane, Ireen, Malcolm & Chris;Children, Kinder, Enfants;Ralph Siegel;Gunter Johansen,Jean-Michel Beriat;Very long
1985;Spain;Paloma San Basilio;La Fiesta Terminó;Juan Carlos Calderón;Unknown;Short
1985;Turkey;MFÖ;Di Dai Di Dai Dai (Aşık oldum);Fuat Güner,Mazhar Alanson,Özkan Uğur;Unknown;Short
1985;Cyprus;Lia Vishy;To Katalava Arga;Lia Vissi;Unknown;Short
1985;Greece;Takis Biniaris;Miazoume;Takis Biniaris;Maro Bizani;Short
1985;Portugal;Adelaïde;Penso Em Ti, Eu Sei;Tozé Brito;Adelaide,Luís Fernando;Short
1985;Belgium;Linda Lepomme;Laat Me Nu Gaan;Pieter Verlinden;Bert Vivier;Short
1986;Belgium;Sandra Kim;J'aime La Vie;Angelo Crisci,Jean-Paul Furnémont;Rosario Marino Atria;Very long
1986;Switzerland;Daniela Simons;Pas Pour Moi;Atilla Şereftuğ;Nella Martinetti;Middle
1986;Luxembourg;Sherisse Laurence;L'amour De Ma Vie;Rolf Soja;Alain Garcia,Frank Dostal;Middle
1986;Ireland;Luv Bug;You Can Count On Me;Kevin Sheerin;Unknown;Middle
1986;Sweden;Lasse Holm & Monica Törnell;E' De' Det Här Du Kallar Kärlek;Lasse Holm;Unknown;Long
1986;Denmark;Lise Haavik and Trax;Du Er Fuld Af Løgn;John Hatting;Unknown;Middle
1986;United Kingdom;Ryder;Runner In The Night;Brian Wade;Maureen Darbyshire;Long
1986;Germany;Ingrid Peters;Über Die Brücke Geh'n;Hans Blum;Unknown;Middle
1986;Turkey;Klips ve Onlar;Halley;Melih Kibar;İlhan İrem;Long
1986;Spain;Cadillac;Valentino;José María Guzmán;Unknown;Very short
1986;Yugoslavia;Doris Dragović;Željo Moja;Zrinko Tutić;Unknown;Very short
1986;Norway;Ketil Stokkan;Romeo;Ketil Stokkan;Unknown;Middle
1986;The Netherlands;Frizzle Sizzle;Alles Heeft Ritme;Peter Schön,Rob Ten Bokum;Peter Schön;Long
1986;Portugal;Dora;Não Sejas Mau Para Mim;Guilherme Inês,Zé Da Ponte,Luís Manuel de Oliveira Fernandes;Unknown;Short
1986;Finland;Kari Kuivalainen;Päivä Kahden Ihmisen;Kari Kuivalainen;Unknown;Very short
1986;Iceland;Icy;Gleðibankinn;Magnús Eiríksson;Unknown;Long
1986;France;Cocktail Chic;Européennes;Georges Costa,Michel Costa;Unknown;Middle
1986;Austria;Timna Brauer;Die Zeit Ist Einsam;Peter Janda;Peter Cornelius;Very short
1986;Israel;Moti Galadi and Sarai Tzuriel;Yavoh Yom;Yoram Zadok;Moti Giladi;Middle
1986;Cyprus;Elpida;Tora Zo;Peter Yiannakis;Fivos Gavris,Peter Yiannakis;Middle
1987;Ireland;Johnny Logan;Hold Me Now;Johnny Logan;Unknown;Middle
1987;Germany;Wind;Laß Die Sonne In Dein Herz;Ralph Siegel;Gunter Johansen;Middle
1987;Italy;Umberto Tozzi and Raf;Gente Di Mare;Raf,Umberto Tozzi;Giancarlo Bigazzi;Middle
1987;Yugoslavia;Novi Fosili;Ja Sam Za Ples;Rajko Dujmić;Stevo Cvikić;Middle
1987;The Netherlands;Marcha;Rechtop In De Wind;Peter Koelewijn;Unknown;Middle
1987;Denmark;Anne-Cathrine Herdorf;En Lille Melodi;Helge Engelbrecht;Jacob Jonia;Middle
1987;Cyprus;Alexia;Aspro Mavro;Andreas Papapaulou;Maria Papapaulou;Short
1987;Israel;Datner and Kushnir;Shir Habatlanim;Zohar Laskov;Unknown;Very long
1987;Norway;Kate Gulbrandsen;Mitt Liv;Rolf Løvland;Hanne Krogh,Rolf Løvland;Short
1987;Greece;Bang;Stop!;Thanos Kalliris,Vassilis Dertillis;Unknown;Very short
1987;Belgium;Liliane Saint-Pierre;Soldiers Of Love;Gyuri Spies,Marc de Coen;Liliane Keuninckx;Middle
1987;Sweden;Lotta Engberg;Boogaloo;Mikael Wendt;Christer Lundh;Very long
1987;United Kingdom;Rikki;Only The Light;Richard Peebles;Unknown;Middle
1987;France;Christine Minier;Les Mots D'amour N'ont Pas De Dimanche;Gerard Curci;Marc Minier;Middle
1987;Finland;Vicky Rosti;Sata Salamaa;Petri Laaksonen;Veli-Pekka Lehto;Middle
1987;Iceland;Halla Margarét;Hægt Og Hljótt;Valgeir Guðjónsson;Unknown;Short
1987;Switzerland;Carole Rich;Moitié Moitié;Jean-Jacques Egli;Unknown;Long
1987;Portugal;Nevada;Neste Barco à Vela;Alfredo Azinheira,Jorge Mendes;Alfredo Azinheira;Middle
1987;Spain;Patricia Kraus;No Estás Solo;Rafael Martínez,Rafael Trabucchelli;Patricia Kraus;Middle
1987;Austria;Gary Lux;Nur Noch Gefühl;Kenneth Westmore;Stefanie Werger;Very short
1987;Luxembourg;Plastic Bertrand;Amour Amour;Alec Mansion,Plastic Bertrand;Unknown;Long
1987;Turkey;Seyyal Tanner & Lokomotif;Şarkım sevgi üstüne;Olcayto Ahmet Tuğsuz;Unknown;Short
1988;Switzerland;Céline Dion;Ne Partez Pas Sans Moi;Atilla Şereftuğ;Nella Martinetti;Short
1988;United Kingdom;Scott Fitzgerald;Go;Julie Forsyth;Unknown;Middle
1988;Denmark;Kirsten & Søren;Ka' Du Se Hva' Jeg Sa';Søren Bundgaard;Keld Heick;Very long
1988;Luxembourg;Lara Fabian;Croire;Jacques Cardona;Alain Garcia;Very short
1988;Norway;Karoline Krüger;For Vår Jord;Erik Hillestad;Anita Skorgan;Short
1988;Yugoslavia;Srebrna Krila;Mangup;Rajko Dujmić;Rajko Dujmić,Stevo Cvikić;Short
1988;Israel;Yardena Arazi;Ben Adam;Boris Dimitstein;Ehud Manor;Long
1988;Ireland;Jump the Gun;Take Him Home;Peter Eades;Unknown;Short
1988;The Netherlands;Gerard Joling;Shangri-la;Peter de Wijn;Unknown;Short
1988;France;Gérard Lenorman;Chanteur De Charme;Gérard Lenorman;Claude Lemesle,Gérard Lenorman;Short
1988;Spain;La Década;La Chica Que Yo Quiero (made In Spain);Enrique Peiró;Francisco Dondiego;Middle
1988;Sweden;Tommy Körberg;Stad I Ljus;Py Bäckman;Unknown;Very short
1988;Italy;Luca Barbarossa;Ti Scrivo;Luca Barbarossa;Unknown;Middle
1988;Germany;Maxi and Chris Garden;Lied Für Einen Freund;Ralph Siegel;Gunter Johansen;Very short
1988;Turkey;MFÖ;Sufi;Fuat Güner,Mazhar Alanson,Özkan Uğur;Mazhar Alanson;Middle
1988;Iceland;Beathoven;Sókrates;Sverrir Stormsker;Unknown;Very short
1988;Greece;Aphroditi Fryda;Kloun;Dimitris Sakislis;Unknown;Short
1988;Belgium;Reynaert;Laissez Briller Le Soleil;Dany Willem,Joseph Reynaerts;Philippe Anciaux,Joseph Reynaerts;Short
1988;Portugal;Dora;Voltarei;José Calvário,José Niza;Unknown;Short
1988;Finland;Boulevard;Nauravat Silmät Muistetaan;Pepe Willberg;Kirsti Willberg;Short
1988;Austria;Wilfried;Lisa Mona Lisa;Klaus Kofler,Ronnie Herboltzheimer,Wilfried Scheutz;Unknown;Short
1989;Yugoslavia;Riva;Rock Me;Rajko Dujmić;Stevo Cvikić;Long
1989;United Kingdom;Live Report;Why Do I Always Get It Wrong;John Beeby;Brian Hodgson;Long
1989;Denmark;Birthe Kjær;Vi Maler Byen Rød;Søren Bundgaard;Keld Heick;Long
