From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Albania;Romania;1044;1281;24;2.299%;1.874%;3.017%
Albania;Russia;1044;2795;52;4.981%;1.86%;6.583%
Albania;SanMarino;812;91;13;1.601%;14.29%;0.2705%
Albania;Serbia;928;1169;16;1.724%;1.369%;3.026%
Albania;Serbia&Montenegro;174;400;13;7.471%;3.25%;6.103%
Albania;Slovakia;232;0;0;0%;nan%;0%
Albania;Slovenia;1160;379;0;0%;0%;0.8008%
Albania;Spain;1160;763;55;4.741%;7.208%;1.612%
Albania;Sweden;1160;2916;52;4.483%;1.783%;6.161%
Albania;Switzerland;1160;605;14;1.207%;2.314%;1.278%
Albania;Turkey;522;1138;71;13.6%;6.239%;5.39%
Albania;Ukraine;986;2355;22;2.231%;0.9342%;5.851%
Albania;UnitedKingdom;1160;700;31;2.672%;4.429%;1.479%
Albania;Yugoslavia;0;0;0;nan%;nan%;nan%
Andorra;Albania;348;262;0;0%;0%;1.882%
Andorra;Armenia;232;558;0;0%;0%;5.831%
Andorra;Australia;0;0;0;nan%;nan%;nan%
Andorra;Austria;174;9;0;0%;0%;0.1326%
Andorra;Azerbaijan;116;339;7;6.034%;2.065%;6.876%
Andorra;Belarus;348;145;0;0%;0%;1.042%
Andorra;Belgium;348;7;1;0.2874%;14.29%;0.05029%
Andorra;BosniaHerzegovina;348;721;0;0%;0%;5.18%
Andorra;Bulgaria;290;157;0;0%;0%;1.327%
Andorra;Croatia;348;310;0;0%;0%;2.227%
Andorra;Cyprus;348;216;4;1.149%;1.852%;1.552%
Andorra;Czech;174;0;0;0%;nan%;0%
Andorra;Denmark;348;285;8;2.299%;2.807%;2.047%
Andorra;Estonia;348;129;0;0%;0%;0.9267%
Andorra;Finland;348;402;21;6.034%;5.224%;2.888%
Andorra;France;348;229;26;7.471%;11.35%;1.645%
Andorra;Georgia;116;180;0;0%;0%;3.651%
Andorra;Germany;348;231;5;1.437%;2.165%;1.659%
Andorra;Greece;348;1087;21;6.034%;1.932%;7.809%
Andorra;Hungary;232;225;12;5.172%;5.333%;2.337%
Andorra;Iceland;348;298;8;2.299%;2.685%;2.141%
Andorra;Ireland;348;105;4;1.149%;3.81%;0.7543%
Andorra;Israel;348;335;15;4.31%;4.478%;2.407%
Andorra;Italy;0;0;0;nan%;nan%;nan%
Andorra;Latvia;348;320;12;3.448%;3.75%;2.299%
Andorra;Lithuania;348;213;8;2.299%;3.756%;1.53%
Andorra;Luxembourg;0;0;0;nan%;nan%;nan%
Andorra;Macedonia;348;228;0;0%;0%;1.638%
Andorra;Malta;348;274;7;2.011%;2.555%;1.968%
Andorra;Moldova;290;348;4;1.379%;1.149%;2.941%
Andorra;Monaco;174;0;0;0%;nan%;0%
Andorra;Montenegro;174;0;0;0%;nan%;0%
Andorra;Morocco;0;0;0;nan%;nan%;nan%
Andorra;Netherlands;348;11;0;0%;0%;0.07902%
Andorra;Norway;348;733;13;3.736%;1.774%;5.266%
Andorra;Poland;348;41;0;0%;0%;0.2945%
Andorra;Portugal;348;126;16;4.598%;12.7%;0.9052%
Andorra;Romania;348;517;20;5.747%;3.868%;3.714%
Andorra;Russia;348;942;14;4.023%;1.486%;6.767%
Andorra;SanMarino;58;0;0;0%;nan%;0%
Andorra;Serbia;174;428;0;0%;0%;5.81%
Andorra;Serbia&Montenegro;174;400;2;1.149%;0.5%;6.103%
Andorra;Slovakia;58;0;0;0%;nan%;0%
Andorra;Slovenia;348;66;0;0%;0%;0.4741%
Andorra;Spain;348;254;60;17.24%;23.62%;1.825%
Andorra;Sweden;348;501;17;4.885%;3.393%;3.599%
Andorra;Switzerland;348;158;1;0.2874%;0.6329%;1.135%
Andorra;Turkey;348;856;3;0.8621%;0.3505%;6.149%
Andorra;Ukraine;348;996;33;9.483%;3.313%;7.155%
Andorra;UnitedKingdom;348;278;6;1.724%;2.158%;1.997%
Andorra;Yugoslavia;0;0;0;nan%;nan%;nan%
Armenia;Albania;986;473;0;0%;0%;1.167%
Armenia;Andorra;232;0;0;0%;nan%;0%
Armenia;Australia;522;1263;9;1.724%;0.7126%;5.791%
Armenia;Austria;754;940;15;1.989%;1.596%;3.018%
Armenia;Azerbaijan;870;1560;1;0.1149%;0.0641%;4.345%
Armenia;Belarus;986;368;24;2.434%;6.522%;0.9077%
Armenia;Belgium;986;975;13;1.318%;1.333%;2.405%
Armenia;BosniaHerzegovina;464;727;6;1.293%;0.8253%;3.787%
Armenia;Bulgaria;754;1245;18;2.387%;1.446%;3.975%
Armenia;Croatia;870;346;2;0.2299%;0.578%;0.9591%
Armenia;Cyprus;928;747;50;5.388%;6.693%;1.946%
Armenia;Czech;696;479;18;2.586%;3.758%;1.642%
Armenia;Denmark;986;1221;10;1.014%;0.819%;3.012%
Armenia;Estonia;986;619;2;0.2028%;0.3231%;1.527%
Armenia;Finland;986;590;0;0%;0%;1.455%
Armenia;France;986;1032;73;7.404%;7.074%;2.546%
Armenia;Georgia;870;631;75;8.621%;11.89%;1.758%
Armenia;Germany;986;925;11;1.116%;1.189%;2.282%
Armenia;Greece;986;1226;75;7.606%;6.117%;3.024%
Armenia;Hungary;870;828;3;0.3448%;0.3623%;2.295%
Armenia;Iceland;986;721;8;0.8114%;1.11%;1.778%
Armenia;Ireland;986;383;3;0.3043%;0.7833%;0.9447%
Armenia;Israel;986;1087;24;2.434%;2.208%;2.681%
Armenia;Italy;696;1878;37;5.316%;1.97%;6.541%
Armenia;Latvia;986;485;2;0.2028%;0.4124%;1.196%
Armenia;Lithuania;986;704;0;0%;0%;1.736%
Armenia;Luxembourg;0;0;0;nan%;nan%;nan%
Armenia;Macedonia;986;434;17;1.724%;3.917%;1.07%
Armenia;Malta;986;444;29;2.941%;6.532%;1.095%
Armenia;Moldova;986;978;30;3.043%;3.067%;2.412%
Armenia;Monaco;58;0;0;0%;nan%;0%
Armenia;Montenegro;812;81;20;2.463%;24.69%;0.2412%
Armenia;Morocco;0;0;0;nan%;nan%;nan%
Armenia;Netherlands;986;1274;23;2.333%;1.805%;3.142%
Armenia;Norway;986;1654;38;3.854%;2.297%;4.08%
Armenia;Poland;928;379;1;0.1078%;0.2639%;0.9901%
Armenia;Portugal;812;966;26;3.202%;2.692%;2.892%
Armenia;Romania;870;1034;7;0.8046%;0.677%;2.899%
Armenia;Russia;870;2412;126;14.48%;5.224%;6.762%
Armenia;SanMarino;754;91;3;0.3979%;3.297%;0.2916%
Armenia;Serbia;870;955;11;1.264%;1.152%;2.639%
Armenia;Serbia&Montenegro;58;0;0;0%;nan%;0%
Armenia;Slovakia;174;0;0;0%;nan%;0%
Armenia;Slovenia;986;379;0;0%;0%;0.9348%
Armenia;Spain;986;551;13;1.318%;2.359%;1.359%
Armenia;Sweden;986;2344;54;5.477%;2.304%;5.782%
Armenia;Switzerland;986;477;20;2.028%;4.193%;1.177%
Armenia;Turkey;348;739;4;1.149%;0.5413%;5.158%
Armenia;Ukraine;812;1980;70;8.621%;3.535%;5.916%
Armenia;UnitedKingdom;986;641;15;1.521%;2.34%;1.581%
Armenia;Yugoslavia;0;0;0;nan%;nan%;nan%
Australia;Albania;522;308;0;0%;0%;1.412%
Australia;Andorra;0;0;0;nan%;nan%;nan%
Australia;Armenia;522;362;1;0.1916%;0.2762%;1.66%
Australia;Austria;522;586;11;2.107%;1.877%;2.687%
Australia;Azerbaijan;522;588;3;0.5747%;0.5102%;2.696%
Australia;Belarus;522;114;0;0%;0%;0.5227%
Australia;Belgium;522;761;34;6.513%;4.468%;3.49%
Australia;BosniaHerzegovina;116;0;0;0%;nan%;0%
Australia;Bulgaria;348;1088;31;8.908%;2.849%;7.385%
Australia;Croatia;464;201;2;0.431%;0.995%;1.031%
Australia;Cyprus;522;720;7;1.341%;0.9722%;3.302%
Australia;Czech;522;479;11;2.107%;2.296%;2.196%
Australia;Denmark;522;423;23;4.406%;5.437%;1.94%
Australia;Estonia;522;427;11;2.107%;2.576%;1.958%
Australia;Finland;522;46;4;0.7663%;8.696%;0.2109%
Australia;France;522;674;26;4.981%;3.858%;3.091%
Australia;Georgia;522;155;1;0.1916%;0.6452%;0.7107%
Australia;Germany;522;381;15;2.874%;3.937%;1.747%
Australia;Greece;522;174;0;0%;0%;0.7979%
Australia;Hungary;522;420;0;0%;0%;1.926%
Australia;Iceland;522;232;18;3.448%;7.759%;1.064%
Australia;Ireland;522;136;12;2.299%;8.824%;0.6236%
Australia;Israel;522;835;30;5.747%;3.593%;3.829%
Australia;Italy;522;1530;15;2.874%;0.9804%;7.016%
Australia;Latvia;522;318;7;1.341%;2.201%;1.458%
Australia;Lithuania;522;411;11;2.107%;2.676%;1.885%
Australia;Luxembourg;0;0;0;nan%;nan%;nan%
Australia;Macedonia;522;305;7;1.341%;2.295%;1.399%
Australia;Malta;522;260;10;1.916%;3.846%;1.192%
Australia;Moldova;522;583;29;5.556%;4.974%;2.673%
Australia;Monaco;0;0;0;nan%;nan%;nan%
Australia;Montenegro;522;44;0;0%;0%;0.2018%
Australia;Morocco;0;0;0;nan%;nan%;nan%
Australia;Netherlands;522;922;19;3.64%;2.061%;4.228%
Australia;Norway;522;735;17;3.257%;2.313%;3.37%
Australia;Poland;522;303;2;0.3831%;0.6601%;1.389%
Australia;Portugal;406;797;14;3.448%;1.757%;4.706%
Australia;Romania;406;317;10;2.463%;3.155%;1.872%
Australia;Russia;406;1164;19;4.68%;1.632%;6.873%
Australia;SanMarino;522;77;0;0%;0%;0.3531%
Australia;Serbia;522;370;6;1.149%;1.622%;1.697%
Australia;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Australia;Slovakia;0;0;0;nan%;nan%;nan%
Australia;Slovenia;522;208;0;0%;0%;0.9538%
Australia;Spain;522;212;14;2.682%;6.604%;0.9721%
Australia;Sweden;522;1578;56;10.73%;3.549%;7.236%
Australia;Switzerland;522;364;7;1.341%;1.923%;1.669%
Australia;Turkey;0;0;0;nan%;nan%;nan%
Australia;Ukraine;348;700;10;2.874%;1.429%;4.752%
Australia;UnitedKingdom;522;237;29;5.556%;12.24%;1.087%
Australia;Yugoslavia;0;0;0;nan%;nan%;nan%
Austria;Albania;928;613;25;2.694%;4.078%;1.616%
Austria;Andorra;174;0;0;0%;nan%;0%
Austria;Armenia;754;715;19;2.52%;2.657%;2.296%
Austria;Australia;522;1263;30;5.747%;2.375%;5.791%
Austria;Azerbaijan;754;1226;25;3.316%;2.039%;3.936%
Austria;Belarus;928;350;7;0.7543%;2%;0.9227%
Austria;Belgium;1102;1039;27;2.45%;2.599%;2.461%
Austria;BosniaHerzegovina;522;516;58;11.11%;11.24%;2.648%
Austria;Bulgaria;638;1245;34;5.329%;2.731%;4.677%
Austria;Croatia;986;509;38;3.854%;7.466%;1.348%
Austria;Cyprus;1044;1109;7;0.6705%;0.6312%;2.767%
Austria;Czech;580;479;22;3.793%;4.593%;1.976%
Austria;Denmark;1044;1260;20;1.916%;1.587%;3.095%
Austria;Estonia;1102;833;14;1.27%;1.681%;1.973%
Austria;Finland;1044;283;4;0.3831%;1.413%;0.6951%
Austria;France;1102;991;15;1.361%;1.514%;2.347%
Austria;Georgia;812;412;0;0%;0%;1.227%
Austria;Germany;1102;967;69;6.261%;7.135%;2.29%
Austria;Greece;1044;1218;13;1.245%;1.067%;2.983%
Austria;Hungary;870;944;24;2.759%;2.542%;2.634%
Austria;Iceland;1044;586;8;0.7663%;1.365%;1.435%
Austria;Ireland;1044;463;16;1.533%;3.456%;1.134%
Austria;Israel;1102;1050;22;1.996%;2.095%;2.487%
Austria;Italy;754;1979;65;8.621%;3.284%;6.354%
Austria;Latvia;1102;837;19;1.724%;2.27%;1.982%
Austria;Lithuania;986;601;1;0.1014%;0.1664%;1.528%
Austria;Luxembourg;0;0;0;nan%;nan%;nan%
Austria;Macedonia;1044;602;13;1.245%;2.159%;1.479%
Austria;Malta;1102;936;25;2.269%;2.671%;2.217%
Austria;Moldova;870;1089;13;1.494%;1.194%;3.038%
Austria;Monaco;116;0;0;0%;nan%;0%
Austria;Montenegro;754;81;0;0%;0%;0.2606%
Austria;Morocco;0;0;0;nan%;nan%;nan%
Austria;Netherlands;1044;1370;52;4.981%;3.796%;3.355%
Austria;Norway;1044;1329;19;1.82%;1.43%;3.255%
Austria;Poland;870;482;24;2.759%;4.979%;1.387%
Austria;Portugal;812;810;20;2.463%;2.469%;2.507%
Austria;Romania;986;1031;38;3.854%;3.686%;2.76%
Austria;Russia;986;2468;44;4.462%;1.783%;6.607%
Austria;SanMarino;754;91;0;0%;0%;0.2922%
Austria;Serbia;754;937;50;6.631%;5.336%;2.981%
Austria;Serbia&Montenegro;116;400;24;20.69%;6%;9.195%
Austria;Slovakia;116;0;0;0%;nan%;0%
Austria;Slovenia;1044;419;12;1.149%;2.864%;1.026%
Austria;Spain;1102;779;6;0.5445%;0.7702%;1.845%
Austria;Sweden;1102;2933;67;6.08%;2.284%;6.946%
Austria;Switzerland;1044;604;31;2.969%;5.132%;1.483%
Austria;Turkey;464;817;45;9.698%;5.508%;5.104%
Austria;Ukraine;812;1826;24;2.956%;1.314%;5.642%
Austria;UnitedKingdom;1102;617;13;1.18%;2.107%;1.461%
Austria;Yugoslavia;0;0;0;nan%;nan%;nan%
Azerbaijan;Albania;928;619;20;2.155%;3.231%;1.615%
Azerbaijan;Andorra;116;0;0;0%;nan%;0%
Azerbaijan;Armenia;870;1009;0;0%;0%;2.81%
Azerbaijan;Australia;522;1263;11;2.107%;0.8709%;5.791%
Azerbaijan;Austria;754;940;1;0.1326%;0.1064%;3.018%
Azerbaijan;Belarus;928;223;32;3.448%;14.35%;0.5817%
Azerbaijan;Belgium;928;975;4;0.431%;0.4103%;2.543%
Azerbaijan;BosniaHerzegovina;406;447;5;1.232%;1.119%;2.63%
Azerbaijan;Bulgaria;696;1088;36;5.172%;3.309%;3.737%
Azerbaijan;Croatia;812;290;6;0.7389%;2.069%;0.8562%
Azerbaijan;Cyprus;870;812;19;2.184%;2.34%;2.244%
Azerbaijan;Czech;638;479;6;0.9404%;1.253%;1.791%
Azerbaijan;Denmark;928;1216;9;0.9698%;0.7401%;3.172%
Azerbaijan;Estonia;928;739;11;1.185%;1.488%;1.928%
Azerbaijan;Finland;928;245;0;0%;0%;0.6391%
Azerbaijan;France;928;1029;9;0.9698%;0.8746%;2.684%
Azerbaijan;Georgia;870;534;43;4.943%;8.052%;1.487%
Azerbaijan;Germany;928;950;6;0.6466%;0.6316%;2.478%
Azerbaijan;Greece;928;1023;38;4.095%;3.715%;2.668%
Azerbaijan;Hungary;870;719;36;4.138%;5.007%;1.993%
Azerbaijan;Iceland;928;767;0;0%;0%;2.001%
Azerbaijan;Ireland;928;331;1;0.1078%;0.3021%;0.8634%
Azerbaijan;Israel;928;1083;46;4.957%;4.247%;2.825%
Azerbaijan;Italy;754;1979;31;4.111%;1.566%;6.354%
Azerbaijan;Latvia;928;401;5;0.5388%;1.247%;1.046%
Azerbaijan;Lithuania;928;584;13;1.401%;2.226%;1.523%
Azerbaijan;Luxembourg;0;0;0;nan%;nan%;nan%
Azerbaijan;Macedonia;928;376;11;1.185%;2.926%;0.9808%
Azerbaijan;Malta;928;484;46;4.957%;9.504%;1.262%
Azerbaijan;Moldova;928;928;52;5.603%;5.603%;2.421%
Azerbaijan;Monaco;0;0;0;nan%;nan%;nan%
Azerbaijan;Montenegro;812;81;2;0.2463%;2.469%;0.2412%
Azerbaijan;Morocco;0;0;0;nan%;nan%;nan%
Azerbaijan;Netherlands;928;1274;7;0.7543%;0.5495%;3.323%
Azerbaijan;Norway;928;1625;23;2.478%;1.415%;4.239%
Azerbaijan;Poland;812;379;13;1.601%;3.43%;1.127%
Azerbaijan;Portugal;754;966;16;2.122%;1.656%;3.096%
Azerbaijan;Romania;812;849;39;4.803%;4.594%;2.537%
Azerbaijan;Russia;812;2216;103;12.68%;4.648%;6.622%
Azerbaijan;SanMarino;812;91;13;1.601%;14.29%;0.2705%
Azerbaijan;Serbia;870;901;12;1.379%;1.332%;2.49%
Azerbaijan;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Azerbaijan;Slovakia;232;0;0;0%;nan%;0%
Azerbaijan;Slovenia;928;313;7;0.7543%;2.236%;0.8164%
Azerbaijan;Spain;928;587;4;0.431%;0.6814%;1.531%
Azerbaijan;Sweden;928;2495;21;2.263%;0.8417%;6.508%
Azerbaijan;Switzerland;928;447;8;0.8621%;1.79%;1.166%
Azerbaijan;Turkey;290;597;48;16.55%;8.04%;4.925%
Azerbaijan;Ukraine;754;1665;108;14.32%;6.486%;5.326%
Azerbaijan;UnitedKingdom;928;609;7;0.7543%;1.149%;1.589%
Azerbaijan;Yugoslavia;0;0;0;nan%;nan%;nan%
Belarus;Albania;1160;778;7;0.6034%;0.8997%;1.644%
Belarus;Andorra;348;0;0;0%;nan%;0%
Belarus;Armenia;986;1276;52;5.274%;4.075%;3.147%
Belarus;Australia;522;1263;24;4.598%;1.9%;5.791%
Belarus;Austria;928;949;14;1.509%;1.475%;2.502%
Belarus;Azerbaijan;928;1710;71;7.651%;4.152%;4.46%
Belarus;Belgium;1160;982;18;1.552%;1.833%;2.075%
Belarus;BosniaHerzegovina;638;952;4;0.627%;0.4202%;3.664%
Belarus;Bulgaria;870;1245;30;3.448%;2.41%;3.457%
Belarus;Croatia;1044;511;5;0.4789%;0.9785%;1.192%
Belarus;Cyprus;1102;1028;31;2.813%;3.016%;2.275%
Belarus;Czech;696;479;11;1.58%;2.296%;1.642%
Belarus;Denmark;1160;1367;15;1.293%;1.097%;2.888%
Belarus;Estonia;1160;739;15;1.293%;2.03%;1.561%
Belarus;Finland;1160;590;8;0.6897%;1.356%;1.247%
Belarus;France;1160;1104;11;0.9483%;0.9964%;2.333%
Belarus;Georgia;928;631;34;3.664%;5.388%;1.646%
Belarus;Germany;1160;1132;8;0.6897%;0.7067%;2.392%
Belarus;Greece;1160;1772;33;2.845%;1.862%;3.744%
Belarus;Hungary;986;944;20;2.028%;2.119%;2.315%
Belarus;Iceland;1160;783;11;0.9483%;1.405%;1.654%
Belarus;Ireland;1160;436;1;0.08621%;0.2294%;0.9212%
Belarus;Israel;1160;1241;31;2.672%;2.498%;2.622%
Belarus;Italy;754;1979;18;2.387%;0.9096%;6.354%
Belarus;Latvia;1160;638;16;1.379%;2.508%;1.348%
Belarus;Lithuania;1160;774;36;3.103%;4.651%;1.635%
Belarus;Luxembourg;0;0;0;nan%;nan%;nan%
Belarus;Macedonia;1160;604;12;1.034%;1.987%;1.276%
Belarus;Malta;1160;727;32;2.759%;4.402%;1.536%
Belarus;Moldova;1102;1207;51;4.628%;4.225%;2.668%
Belarus;Monaco;174;0;0;0%;nan%;0%
Belarus;Montenegro;870;81;0;0%;0%;0.2249%
Belarus;Morocco;0;0;0;nan%;nan%;nan%
Belarus;Netherlands;1160;1285;23;1.983%;1.79%;2.715%
Belarus;Norway;1160;1789;66;5.69%;3.689%;3.78%
Belarus;Poland;1044;406;15;1.437%;3.695%;0.9524%
Belarus;Portugal;986;966;17;1.724%;1.76%;2.403%
Belarus;Romania;1044;1281;8;0.7663%;0.6245%;3.017%
Belarus;Russia;1044;2795;166;15.9%;5.939%;6.583%
Belarus;SanMarino;812;91;1;0.1232%;1.099%;0.2705%
Belarus;Serbia;928;1169;8;0.8621%;0.6843%;3.026%
Belarus;Serbia&Montenegro;174;400;10;5.747%;2.5%;6.103%
Belarus;Slovakia;232;0;0;0%;nan%;0%
Belarus;Slovenia;1160;379;13;1.121%;3.43%;0.8008%
Belarus;Spain;1160;763;2;0.1724%;0.2621%;1.612%
Belarus;Sweden;1160;2916;53;4.569%;1.818%;6.161%
Belarus;Switzerland;1160;605;18;1.552%;2.975%;1.278%
Belarus;Turkey;522;1138;9;1.724%;0.7909%;5.39%
Belarus;Ukraine;986;2355;126;12.78%;5.35%;5.851%
Belarus;UnitedKingdom;1160;700;6;0.5172%;0.8571%;1.479%
Belarus;Yugoslavia;0;0;0;nan%;nan%;nan%
Belgium;Albania;1160;778;22;1.897%;2.828%;1.644%
Belgium;Andorra;348;0;0;0%;nan%;0%
Belgium;Armenia;986;1276;58;5.882%;4.545%;3.147%
Belgium;Australia;522;1263;34;6.513%;2.692%;5.791%
Belgium;Austria;1102;1110;45;4.083%;4.054%;2.629%
Belgium;Azerbaijan;928;1710;27;2.909%;1.579%;4.46%
Belgium;Belarus;1160;368;0;0%;0%;0.7776%
Belgium;BosniaHerzegovina;754;1012;6;0.7958%;0.5929%;3.504%
Belgium;Bulgaria;870;1245;33;3.793%;2.651%;3.457%
Belgium;Croatia;1218;654;0;0%;0%;1.387%
Belgium;Cyprus;1276;1136;25;1.959%;2.201%;2.296%
Belgium;Czech;696;479;14;2.011%;2.923%;1.642%
Belgium;Denmark;1276;1569;38;2.978%;2.422%;3.131%
Belgium;Estonia;1334;962;10;0.7496%;1.04%;1.864%
Belgium;Finland;1276;632;11;0.8621%;1.741%;1.261%
Belgium;France;1334;1232;82;6.147%;6.656%;2.387%
Belgium;Georgia;928;631;18;1.94%;2.853%;1.646%
Belgium;Germany;1334;1298;31;2.324%;2.388%;2.515%
Belgium;Greece;1276;1824;78;6.113%;4.276%;3.631%
Belgium;Hungary;986;944;15;1.521%;1.589%;2.315%
Belgium;Iceland;1276;909;24;1.881%;2.64%;1.81%
Belgium;Ireland;1276;581;20;1.567%;3.442%;1.157%
Belgium;Israel;1334;1302;39;2.924%;2.995%;2.522%
Belgium;Italy;754;1979;61;8.09%;3.082%;6.354%
Belgium;Latvia;1334;950;32;2.399%;3.368%;1.84%
Belgium;Lithuania;1218;786;4;0.3284%;0.5089%;1.613%
Belgium;Luxembourg;0;0;0;nan%;nan%;nan%
Belgium;Macedonia;1276;658;0;0%;0%;1.313%
Belgium;Malta;1334;968;16;1.199%;1.653%;1.875%
Belgium;Moldova;1102;1207;16;1.452%;1.326%;2.668%
Belgium;Monaco;174;0;0;0%;nan%;0%
Belgium;Montenegro;870;81;0;0%;0%;0.2249%
Belgium;Morocco;0;0;0;nan%;nan%;nan%
Belgium;Netherlands;1276;1370;106;8.307%;7.737%;2.728%
Belgium;Norway;1276;1969;42;3.292%;2.133%;3.92%
Belgium;Poland;1102;496;21;1.906%;4.234%;1.124%
Belgium;Portugal;1044;979;32;3.065%;3.269%;2.348%
Belgium;Romania;1218;1450;38;3.12%;2.621%;3.102%
Belgium;Russia;1218;3169;49;4.023%;1.546%;6.779%
Belgium;SanMarino;812;91;0;0%;0%;0.2705%
Belgium;Serbia;928;1169;12;1.293%;1.027%;3.026%
Belgium;Serbia&Montenegro;174;400;3;1.724%;0.75%;6.103%
Belgium;Slovakia;232;0;0;0%;nan%;0%
Belgium;Slovenia;1276;419;2;0.1567%;0.4773%;0.8342%
Belgium;Spain;1334;943;52;3.898%;5.514%;1.827%
Belgium;Sweden;1334;3183;81;6.072%;2.545%;6.166%
Belgium;Switzerland;1276;634;12;0.9404%;1.893%;1.265%
Belgium;Turkey;696;1393;91;13.07%;6.533%;5.483%
Belgium;Ukraine;1044;2385;24;2.299%;1.006%;5.711%
Belgium;UnitedKingdom;1334;839;10;0.7496%;1.192%;1.625%
Belgium;Yugoslavia;0;0;0;nan%;nan%;nan%
BosniaHerzegovina;Albania;638;470;21;3.292%;4.468%;1.809%
BosniaHerzegovina;Andorra;348;0;0;0%;nan%;0%
BosniaHerzegovina;Armenia;464;948;8;1.724%;0.8439%;4.938%
BosniaHerzegovina;Australia;116;511;13;11.21%;2.544%;10.49%
BosniaHerzegovina;Austria;522;351;17;3.257%;4.843%;1.801%
BosniaHerzegovina;Azerbaijan;406;972;34;8.374%;3.498%;5.72%
BosniaHerzegovina;Belarus;638;163;4;0.627%;2.454%;0.6273%
BosniaHerzegovina;Belgium;754;529;10;1.326%;1.89%;1.831%
BosniaHerzegovina;Bulgaria;580;464;11;1.897%;2.371%;1.942%
BosniaHerzegovina;Croatia;812;498;85;10.47%;17.07%;1.648%
BosniaHerzegovina;Cyprus;754;504;0;0%;0%;1.745%
BosniaHerzegovina;Czech;290;41;6;2.069%;14.63%;0.335%
BosniaHerzegovina;Denmark;754;773;0;0%;0%;2.692%
BosniaHerzegovina;Estonia;812;616;14;1.724%;2.273%;2.039%
BosniaHerzegovina;Finland;696;483;10;1.437%;2.07%;1.764%
BosniaHerzegovina;France;812;936;54;6.65%;5.769%;3.097%
BosniaHerzegovina;Georgia;406;530;5;1.232%;0.9434%;3.119%
BosniaHerzegovina;Germany;812;841;16;1.97%;1.902%;2.783%
BosniaHerzegovina;Greece;812;1610;42;5.172%;2.609%;5.328%
BosniaHerzegovina;Hungary;464;405;2;0.431%;0.4938%;2.084%
BosniaHerzegovina;Iceland;754;530;1;0.1326%;0.1887%;1.839%
BosniaHerzegovina;Ireland;754;354;2;0.2653%;0.565%;1.228%
BosniaHerzegovina;Israel;812;620;20;2.463%;3.226%;2.052%
BosniaHerzegovina;Italy;232;414;6;2.586%;1.449%;4.224%
BosniaHerzegovina;Latvia;812;644;5;0.6158%;0.7764%;2.131%
BosniaHerzegovina;Lithuania;754;593;2;0.2653%;0.3373%;2.065%
BosniaHerzegovina;Luxembourg;0;0;0;nan%;nan%;nan%
BosniaHerzegovina;Macedonia;696;324;43;6.178%;13.27%;1.184%
BosniaHerzegovina;Malta;812;684;6;0.7389%;0.8772%;2.264%
