"country";"Year";"GDP growth (annual %)"
"Ireland";1979;3,07303589185656
"Israel";1979;6,20781594707121
"Italy";1979;5,95915942625737
"Latvia";1979;NA
"Lithuania";1979;NA
"Luxembourg";1979;2,34560921239245
"Macedonia";1979;NA
"Malta";1979;10,4907731676097
"Moldova";1979;NA
"Monaco";1979;3,53420492867116
"Montenegro";1979;NA
"Morocco";1979;4,79378720509548
"Netherlands";1979;2,01416612801977
"Norway";1979;4,37245992731722
"Poland";1979;NA
"Portugal";1979;5,63893782270115
"Romania";1979;NA
"Russia";1979;NA
"San Marino";1979;NA
"Serbia";1979;NA
"Serbia and Montenegro";1979;NA
"Slovakia";1979;NA
"Slovenia";1979;NA
"Spain";1979;0,0415463453412883
"Sweden";1979;3,84000347660032
"Switzerland";1979;2,49151198025532
"Turkey";1979;-0,624113570222889
"Ukraine";1979;NA
"United Kingdom";1979;3,74901664259653
"Yugoslavia";1979;NA
"Albania";1980;NA
"Andorra";1980;2,20872760693067
"Armenia";1980;NA
"Australia";1980;3,03424587145736
"Austria";1980;1,73148559549917
"Azerbaijan";1980;NA
"Belarus";1980;NA
"Belgium";1980;4,44405387639348
"Bosnia and Herzegovina";1980;NA
"Bulgaria";1980;NA
"Croatia";1980;NA
"Cyprus";1980;5,75324470140077
"Czech Republic";1980;NA
"Denmark";1980;-0,482986336653326
"Estonia";1980;NA
"Finland";1980;5,38904788022778
"France";1980;1,57874525990584
"Georgia";1980;4,57626627457819
"Germany";1980;1,40882863572145
"Greece";1980;0,677130861413417
"Hungary";1980;NA
"Iceland";1980;5,74792068476069
"Ireland";1980;3,0793280050116
"Israel";1980;1,67044149834388
"Italy";1980;3,4300164144226
"Latvia";1980;NA
"Lithuania";1980;NA
"Luxembourg";1980;0,840877542513851
"Macedonia";1980;NA
"Malta";1980;7,04971121492007
"Moldova";1980;NA
"Monaco";1980;1,68545743348373
"Montenegro";1980;NA
"Morocco";1980;3,64216481331357
"Netherlands";1980;1,34191413595499
"Norway";1980;4,56464835641921
"Poland";1980;NA
"Portugal";1980;4,58933992368382
"Romania";1980;NA
"Russia";1980;NA
"San Marino";1980;NA
"Serbia";1980;NA
"Serbia and Montenegro";1980;NA
"Slovakia";1980;NA
"Slovenia";1980;NA
"Spain";1980;2,20872827746719
"Sweden";1980;1,69997143939247
"Switzerland";1980;4,60197737285843
"Turkey";1980;-2,44735042580156
"Ukraine";1980;NA
"United Kingdom";1980;-2,03136778090925
"Yugoslavia";1980;NA
"Albania";1981;5,7456352920068
"Andorra";1981;-0,132474511474285
"Armenia";1981;NA
"Australia";1981;3,33776813804133
"Austria";1981;-0,14429469056661
"Azerbaijan";1981;NA
"Belarus";1981;NA
"Belgium";1981;-0,279283279362133
"Bosnia and Herzegovina";1981;NA
"Bulgaria";1981;4,90016185983106
"Croatia";1981;NA
"Cyprus";1981;2,51699844067204
"Czech Republic";1981;NA
"Denmark";1981;-0,666124155581699
"Estonia";1981;NA
"Finland";1981;1,3158788537492
"France";1981;1,06901983853727
"Georgia";1981;5,2674236559411
"Germany";1981;0,529240556536067
"Greece";1981;-1,55372085644029
"Hungary";1981;NA
"Iceland";1981;4,26500709226671
"Ireland";1981;3,32521630118121
"Israel";1981;5,3399269801952
"Italy";1981;0,844227607248143
"Latvia";1981;NA
"Lithuania";1981;NA
"Luxembourg";1981;-0,550947827759458
"Macedonia";1981;NA
"Malta";1981;3,3117620744263
"Moldova";1981;NA
"Monaco";1981;0,922378369239851
"Montenegro";1981;NA
"Morocco";1981;-1,74343493044302
"Netherlands";1981;-0,783611707416071
"Norway";1981;1,59827436373983
"Poland";1981;NA
"Portugal";1981;1,61810421541844
"Romania";1981;NA
"Russia";1981;NA
"San Marino";1981;NA
"Serbia";1981;NA
"Serbia and Montenegro";1981;NA
"Slovakia";1981;NA
"Slovenia";1981;NA
"Spain";1981;-0,132468611426361
"Sweden";1981;0,45483041663563
"Switzerland";1981;1,60133601188332
"Turkey";1981;4,85664876652039
"Ukraine";1981;NA
"United Kingdom";1981;-0,787743851356353
"Yugoslavia";1981;NA
"Albania";1982;2,9485968015687
"Andorra";1982;1,24646111342557
"Armenia";1982;NA
"Australia";1982;3,32844193385323
"Austria";1982;2,01125470754351
"Azerbaijan";1982;NA
"Belarus";1982;NA
"Belgium";1982;0,594986772001008
"Bosnia and Herzegovina";1982;NA
"Bulgaria";1982;2,33456559219081
"Croatia";1982;NA
"Cyprus";1982;6,02170898483783
"Czech Republic";1982;NA
"Denmark";1982;3,68457296763364
"Estonia";1982;NA
"Finland";1982;3,10808869307027
"France";1982;2,50539661637579
"Georgia";1982;2,00153854146568
"Germany";1982;-0,394840774795966
"Greece";1982;-1,13264740070785
"Hungary";1982;NA
"Iceland";1982;2,15456624627028
"Ireland";1982;2,28346851428232
"Israel";1982;2,08249993071293
"Italy";1982;0,413585694627969
"Latvia";1982;NA
"Lithuania";1982;NA
"Luxembourg";1982;1,13129862124195
"Macedonia";1982;NA
"Malta";1982;2,2844523055533
"Moldova";1982;NA
"Monaco";1982;2,43238947167906
"Montenegro";1982;NA
"Morocco";1982;8,95737202264262
"Netherlands";1982;-1,24075659270838
"Norway";1982;0,235354478446709
"Poland";1982;NA
"Portugal";1982;2,13537507759274
"Romania";1982;NA
"Russia";1982;NA
"San Marino";1982;NA
"Serbia";1982;NA
"Serbia and Montenegro";1982;NA
"Slovakia";1982;NA
"Slovenia";1982;NA
"Spain";1982;1,24646170534606
"Sweden";1982;1,24866467922725
"Switzerland";1982;-1,30941762369659
"Turkey";1982;3,56322781218346
"Ukraine";1982;NA
"United Kingdom";1982;1,99489121570818
"Yugoslavia";1982;NA
"Albania";1983;1,104938261827
"Andorra";1983;1,7701183169326
"Armenia";1983;NA
"Australia";1983;-2,22047012220898
"Austria";1983;2,97308803031213
"Azerbaijan";1983;NA
"Belarus";1983;NA
"Belgium";1983;0,311842702585196
"Bosnia and Herzegovina";1983;NA
"Bulgaria";1983;3,43030591266272
"Croatia";1983;NA
"Cyprus";1983;5,58218170220279
"Czech Republic";1983;NA
"Denmark";1983;2,59607191923766
"Estonia";1983;NA
"Finland";1983;3,11658151416627
"France";1983;1,24086486211559
"Georgia";1983;4,30188684407258
"Germany";1983;1,57241016952116
"Greece";1983;-1,07862294708484
"Hungary";1983;NA
"Iceland";1983;-2,15116171794479
"Ireland";1983;-0,244300596361441
"Israel";1983;3,35910167578164
"Italy";1983;1,16920349453939
"Latvia";1983;NA
"Lithuania";1983;NA
"Luxembourg";1983;2,9890744098732
"Macedonia";1983;NA
"Malta";1983;-0,612390116892172
"Moldova";1983;NA
"Monaco";1983;1,19497334906886
"Montenegro";1983;NA
"Morocco";1983;1,38656957718641
"Netherlands";1983;2,06995788790063
"Norway";1983;3,97280881355124
"Poland";1983;NA
"Portugal";1983;-0,173113548251848
"Romania";1983;NA
"Russia";1983;NA
"San Marino";1983;NA
"Serbia";1983;NA
"Serbia and Montenegro";1983;NA
"Slovakia";1983;NA
"Slovenia";1983;NA
"Spain";1983;1,77011566326799
"Sweden";1983;1,90063873020327
"Switzerland";1983;0,639079567655898
"Turkey";1983;4,97108077727097
"Ukraine";1983;NA
"United Kingdom";1983;4,22185640855157
"Yugoslavia";1983;NA
"Albania";1984;-1,25159664469855
"Andorra";1984;1,78468669356731
"Armenia";1984;NA
"Australia";1984;4,58129721922676
"Austria";1984;0,0512747629668411
"Azerbaijan";1984;NA
"Belarus";1984;NA
"Belgium";1984;2,46638280528001
"Bosnia and Herzegovina";1984;NA
"Bulgaria";1984;3,39644362278422
"Croatia";1984;NA
"Cyprus";1984;8,75789438428602
"Czech Republic";1984;NA
"Denmark";1984;4,16613792284444
"Estonia";1984;NA
"Finland";1984;3,23769199585604
"France";1984;1,51372160344316
"Georgia";1984;5,42692297056458
"Germany";1984;2,82294780997955
"Greece";1984;2,01058062547541
"Hungary";1984;NA
"Iceland";1984;4,12911825743237
"Ireland";1984;4,35437189089987
"Israel";1984;0,933213767199945
"Italy";1984;3,22585231527985
"Latvia";1984;NA
"Lithuania";1984;NA
"Luxembourg";1984;6,18694108566717
"Macedonia";1984;NA
"Malta";1984;0,942370935479602
"Moldova";1984;NA
"Monaco";1984;1,48451563381917
"Montenegro";1984;NA
"Morocco";1984;6,41838632127607
"Netherlands";1984;3,06167918217261
"Norway";1984;6,05240316534181
"Poland";1984;NA
"Portugal";1984;-1,87997908934653
"Romania";1984;NA
"Russia";1984;NA
"San Marino";1984;NA
"Serbia";1984;NA
"Serbia and Montenegro";1984;NA
"Slovakia";1984;NA
"Slovenia";1984;NA
"Spain";1984;1,78468758048753
"Sweden";1984;4,22953524491705
"Switzerland";1984;3,00845627492943
"Turkey";1984;6,71201571206008
"Ukraine";1984;NA
"United Kingdom";1984;2,2691050845774
"Yugoslavia";1984;NA
"Albania";1985;1,78064395977269
"Andorra";1985;2,32143303219976
"Armenia";1985;NA
"Australia";1985;5,24932960928453
"Austria";1985;2,49867849748429
"Azerbaijan";1985;NA
"Belarus";1985;NA
"Belgium";1985;1,6517928990972
"Bosnia and Herzegovina";1985;NA
"Bulgaria";1985;2,68344073997304
"Croatia";1985;NA
"Cyprus";1985;4,88254077196271
"Czech Republic";1985;NA
"Denmark";1985;4,00375181515933
"Estonia";1985;NA
"Finland";1985;3,54889658723026
"France";1985;1,62278136715794
"Georgia";1985;4,9416554196843
"Germany";1985;2,32793526226367
"Greece";1985;2,50955661505074
"Hungary";1985;NA
"Iceland";1985;3,29284135948407
"Ireland";1985;3,08561450201421
"Israel";1985;4,03694010297161
"Italy";1985;2,79808576720868
"Latvia";1985;NA
"Lithuania";1985;NA
"Luxembourg";1985;2,79170714922567
"Macedonia";1985;NA
"Malta";1985;2,58527966638221
"Moldova";1985;NA
"Monaco";1985;1,70869968395459
"Montenegro";1985;NA
"Morocco";1985;6,00765207156169
"Netherlands";1985;2,58017977050262
"Norway";1985;5,55335896373643
"Poland";1985;NA
"Portugal";1985;2,80743885129478
"Romania";1985;NA
"Russia";1985;NA
"San Marino";1985;NA
"Serbia";1985;NA
"Serbia and Montenegro";1985;NA
"Slovakia";1985;NA
"Slovenia";1985;NA
"Spain";1985;2,32143575836614
"Sweden";1985;2,16037374565585
"Switzerland";1985;3,67359608868583
"Turkey";1985;4,24133571639945
"Ukraine";1985;NA
"United Kingdom";1985;4,14741507693289
"Yugoslavia";1985;NA
"Albania";1986;5,63724317825185
"Andorra";1986;3,25332177830622
"Armenia";1986;NA
"Australia";1986;4,03752885052448
"Austria";1986;2,3013932119724
"Azerbaijan";1986;NA
"Belarus";1986;NA
"Belgium";1986;1,82276183101794
"Bosnia and Herzegovina";1986;NA
"Bulgaria";1986;4,2076020043413
"Croatia";1986;NA
"Cyprus";1986;3,70395028952957
"Czech Republic";1986;NA
"Denmark";1986;4,90417835499042
"Estonia";1986;NA
"Finland";1986;2,75563345861494
"France";1986;2,33727634979969
"Georgia";1986;-8,17527589257097
"Germany";1986;2,28733922127036
"Greece";1986;0,517660267704301
"Hungary";1986;NA
"Iceland";1986;6,2705419896496
"Ireland";1986;-0,428329672726051
"Israel";1986;4,19014464559193
"Italy";1986;2,85997186384608
"Latvia";1986;NA
"Lithuania";1986;NA
"Luxembourg";1986;9,98392901261671
"Macedonia";1986;NA
"Malta";1986;3,88519000696459
"Moldova";1986;NA
"Monaco";1986;2,45236468239041
"Montenegro";1986;NA
"Morocco";1986;9,27110576947608
"Netherlands";1986;2,7869757369202
"Norway";1986;4,04225262081309
"Poland";1986;NA
"Portugal";1986;4,14095567971992
"Romania";1986;NA
"Russia";1986;NA
"San Marino";1986;NA
"Serbia";1986;NA
"Serbia and Montenegro";1986;NA
"Slovakia";1986;NA
"Slovenia";1986;NA
"Spain";1986;3,25332184173544
"Sweden";1986;2,69132317338637
"Switzerland";1986;1,8586327699405
"Turkey";1986;7,01203111054399
"Ukraine";1986;NA
"United Kingdom";1986;3,15034053587446
"Yugoslavia";1986;NA
"Albania";1987;-0,787842655012938
"Andorra";1987;5,54712217053779
"Armenia";1987;NA
"Australia";1987;2,55117045885154
"Austria";1987;1,35716806415441
"Azerbaijan";1987;NA
"Belarus";1987;NA
"Belgium";1987;2,30665956583917
"Bosnia and Herzegovina";1987;NA
"Bulgaria";1987;6,05451383876874
"Croatia";1987;NA
"Cyprus";1987;7,06525081210985
"Czech Republic";1987;NA
"Denmark";1987;0,254266314633725
"Estonia";1987;NA
"Finland";1987;3,57482613830207
"France";1987;2,56190033450119
"Georgia";1987;1,28204284825986
"Germany";1987;1,40215162742055
"Greece";1987;-2,25886342148172
"Hungary";1987;NA
"Iceland";1987;8,54593971299578
"Ireland";1987;4,66309057038006
"Israel";1987;7,13971136005674
"Italy";1987;3,19196062848015
"Latvia";1987;NA
"Lithuania";1987;NA
"Luxembourg";1987;3,9509822638087
"Macedonia";1987;NA
"Malta";1987;4,11051445185961
"Moldova";1987;NA
"Monaco";1987;2,48457417152692
"Montenegro";1987;NA
"Morocco";1987;-0,325004075718994
"Netherlands";1987;1,93124868495423
"Norway";1987;1,75340078899657
"Poland";1987;NA
"Portugal";1987;6,38139413490335
"Romania";1987;NA
"Russia";1987;NA
"San Marino";1987;NA
"Serbia";1987;NA
"Serbia and Montenegro";1987;NA
"Slovakia";1987;NA
"Slovenia";1987;NA
"Spain";1987;5,54712251525866
"Sweden";1987;3,35384298424782
"Switzerland";1987;1,58547821504646
"Turkey";1987;9,48553884246731
"Ukraine";1987;NA
"United Kingdom";1987;5,39273836588518
"Yugoslavia";1987;NA
"Albania";1988;-1,42003965482249
"Andorra";1988;5,09432620323258
"Armenia";1988;NA
"Australia";1988;5,74338158549649
"Austria";1988;3,29587989843014
"Azerbaijan";1988;NA
"Belarus";1988;NA
"Belgium";1988;4,72320888032857
"Bosnia and Herzegovina";1988;NA
"Bulgaria";1988;10,9446920641534
"Croatia";1988;NA
"Cyprus";1988;8,64677784552383
"Czech Republic";1988;NA
"Denmark";1988;-0,0136012052800965
"Estonia";1988;NA
"Finland";1988;5,21715032265726
"France";1988;4,74314219356484
"Georgia";1988;5,55555807916308
"Germany";1988;3,70723565949591
"Greece";1988;4,2878614908
"Hungary";1988;NA
"Iceland";1988;-0,0897260551564756
"Ireland";1988;5,21741440872275
"Israel";1988;2,91001620640323
"Italy";1988;4,19437730753005
"Latvia";1988;NA
"Lithuania";1988;NA
"Luxembourg";1988;8,46328403957857
"Macedonia";1988;NA
"Malta";1988;8,41423629573987
"Moldova";1988;NA
"Monaco";1988;4,59860147372071
"Montenegro";1988;NA
"Morocco";1988;11,8752359788077
"Netherlands";1988;3,44121886129396
"Norway";1988;-0,255347257779377
"Poland";1988;NA
"Portugal";1988;7,4891082892814
"Romania";1988;NA
"Russia";1988;NA
"San Marino";1988;NA
"Serbia";1988;NA
"Serbia and Montenegro";1988;NA
"Slovakia";1988;NA
"Slovenia";1988;NA
"Spain";1988;5,09432429766936
"Sweden";1988;2,55903866544574
"Switzerland";1988;3,27759619773865
"Turkey";1988;2,3207367939484
"Ukraine";1988;2,56646327002075
"United Kingdom";1988;5,73241364589943
"Yugoslavia";1988;NA
"Albania";1989;9,83654897047623
"Andorra";1989;4,82703424406891
"Armenia";1989;NA
"Australia";1989;3,86117351615441
"Austria";1989;3,88707481782052
"Azerbaijan";1989;NA
"Belarus";1989;NA
"Belgium";1989;3,46916698368338
"Bosnia and Herzegovina";1989;NA
"Bulgaria";1989;-3,28988206795439
"Croatia";1989;NA
"Cyprus";1989;7,94742553104604
"Czech Republic";1989;NA
"Denmark";1989;0,645187431976638
"Estonia";1989;NA
"Finland";1989;5,08714367418199
"France";1989;4,34386106267613
"Georgia";1989;-7,19520189572219
"Germany";1989;3,89655169214447
"Greece";1989;3,79999977814285
"Hungary";1989;NA
"Iceland";1989;0,258439859634535
"Ireland";1989;5,81391876791683
"Israel";1989;0,574746763584088
"Italy";1989;3,38838345408922
"Latvia";1989;NA
"Lithuania";1989;NA
"Luxembourg";1989;9,79805866965337
"Macedonia";1989;NA
"Malta";1989;8,17910558124018
"Moldova";1989;NA
"Monaco";1989;4,16365930906815
"Montenegro";1989;NA
"Morocco";1989;2,84620258129334
"Netherlands";1989;4,42011789608519
"Norway";1989;1,03828996935131
"Poland";1989;NA
"Portugal";1989;6,44063924027603
"Romania";1989;NA
"Russia";1989;NA
"San Marino";1989;NA
"Serbia";1989;NA
"Serbia and Montenegro";1989;NA
"Slovakia";1989;NA
"Slovenia";1989;NA
"Spain";1989;4,82703031232241
"Sweden";1989;2,65480692720075
"Switzerland";1989;4,33079401651648
"Turkey";1989;0,2902440687796
"Ukraine";1989;3,8731032107064
"United Kingdom";1989;2,57760269569438
"Yugoslavia";1989;NA
"Albania";1990;-9,57564016948643
"Andorra";1990;3,78138758962959
"Armenia";1990;NA
"Australia";1990;3,57099814702293
"Austria";1990;4,34564139947821
"Azerbaijan";1990;NA
"Belarus";1990;NA
"Belgium";1990;3,13740231557445
"Bosnia and Herzegovina";1990;NA
"Bulgaria";1990;-9,11737709653309
"Croatia";1990;NA
"Cyprus";1990;7,40399950603849
"Czech Republic";1990;NA
"Denmark";1990;1,4752442765041
"Estonia";1990;NA
"Finland";1990;0,670275844289762
"France";1990;2,92393508123074
"Georgia";1990;-14,7882259000602
"Germany";1990;5,25500608278011
"Greece";1990;0
"Hungary";1990;NA
"Iceland";1990;1,16937034688847
"Ireland";1990;8,46652874988607
"Israel";1990;7,31519936805334
"Italy";1990;1,98577494287171
"Latvia";1990;NA
"Lithuania";1990;NA
"Luxembourg";1990;5,31993278705365
"Macedonia";1990;NA
"Malta";1990;6,29139095831155
"Moldova";1990;NA
"Monaco";1990;2,64345417269378
"Montenegro";1990;NA
"Morocco";1990;3,4118122263138
"Netherlands";1990;4,18322298634072
"Norway";1990;1,93241982650521
"Poland";1990;NA
"Portugal";1990;3,95052276325154
"Romania";1990;NA
"Russia";1990;-2,9999956422359
"San Marino";1990;NA
"Serbia";1990;NA
"Serbia and Montenegro";1990;NA
"Slovakia";1990;NA
"Slovenia";1990;NA
"Spain";1990;3,78139337826686
"Sweden";1990;0,754674768666845
"Switzerland";1990;3,67462567277848
"Turkey";1990;9,26614667149323
"Ukraine";1990;-6,3452351284913
"United Kingdom";1990;0,733755502200452
"Yugoslavia";1990;NA
"Albania";1991;-28,002141656046
"Andorra";1991;2,54600287187591
"Armenia";1991;-11,6999984830362
"Australia";1991;-0,397817699614905
"Austria";1991;3,44162777669459
"Azerbaijan";1991;-0,700000182726626
"Belarus";1991;-1,19999556980412
"Belgium";1991;1,83307427728701
"Bosnia and Herzegovina";1991;NA
"Bulgaria";1991;-8,44535517671254
"Croatia";1991;NA
"Cyprus";1991;0,739501202599513
"Czech Republic";1991;-11,6149423314776
"Denmark";1991;1,39363399746793
"Estonia";1991;NA
"Finland";1991;-5,88632806942667
"France";1991;1,04817584704435
"Georgia";1991;-21,1000007278933
"Germany";1991;5,10826152190214
"Greece";1991;3,10000020465495
"Hungary";1991;NA
"Iceland";1991;-0,223525514689555
"Ireland";1991;1,92963995759796
"Israel";1991;7,72611512670143
"Italy";1991;1,53844755776618
"Latvia";1991;NA
"Lithuania";1991;NA
"Luxembourg";1991;8,64418819678005
"Macedonia";1991;-6,1707676470205
"Malta";1991;6,25649208213193
"Moldova";1991;NA
"Monaco";1991;1,01512789909873
"Montenegro";1991;NA
"Morocco";1991;7,21608816138237
"Netherlands";1991;2,43913440834392
"Norway";1991;3,08472139526602
"Poland";1991;-7,01557879623546
"Portugal";1991;4,36820646267402
"Romania";1991;-12,9182107304506
"Russia";1991;-5,04693945126729
"San Marino";1991;NA
"Serbia";1991;NA
"Serbia and Montenegro";1991;NA
"Slovakia";1991;NA
"Slovenia";1991;-8,90010793013177
"Spain";1991;2,54600054810226
"Sweden";1991;-1,14597486858065
"Switzerland";1991;-0,915816517441442
"Turkey";1991;0,720279035610048
"Ukraine";1991;-8,4106438886714
"United Kingdom";1991;-1,1031216255778
"Yugoslavia";1991;NA
"Albania";1992;-7,18711091636951
"Andorra";1992;0,929211956288995
"Armenia";1992;-41,8000027457562
"Australia";1992;0,41218470060933
"Austria";1992;2,09352461709183
"Azerbaijan";1992;-22,6000000456313
"Belarus";1992;-9,60000139597707
"Belgium";1992;1,53065494385902
"Bosnia and Herzegovina";1992;NA
"Bulgaria";1992;-7,2723879985458
"Croatia";1992;NA
"Cyprus";1992;9,39999901631703
"Czech Republic";1992;-0,506542369615516
"Denmark";1992;1,95700671183856
"Estonia";1992;NA
"Finland";1992;-3,29466006575714
"France";1992;1,59934267687127
"Georgia";1992;-44,8999994565328
"Germany";1992;1,923076559054
"Greece";1992;0,70000000474235
"Hungary";1992;-3,06418034584902
"Iceland";1992;-3,37389409090588
"Ireland";1992;3,34327389439903
"Israel";1992;7,75926601148029
"Italy";1992;0,834275453554895
"Latvia";1992;NA
"Lithuania";1992;NA
"Luxembourg";1992;1,81965629412947
"Macedonia";1992;-6,56519867685854
"Malta";1992;4,69093243062608
"Moldova";1992;NA
"Monaco";1992;1,36664015291778
"Montenegro";1992;NA
"Morocco";1992;-2,09773876147652
"Netherlands";1992;1,70607089720053
"Norway";1992;3,57439553891901
"Poland";1992;2,51497861151925
"Portugal";1992;1,08947640831229
"Romania";1992;-8,7672284522824
"Russia";1992;-14,5310737737734
"San Marino";1992;NA
"Serbia";1992;NA
"Serbia and Montenegro";1992;NA
"Slovakia";1992;NA
"Slovenia";1992;-5,46369777775708
"Spain";1992;0,929215548666747
"Sweden";1992;-1,15859276007859
"Switzerland";1992;-0,0437330190328282
"Turkey";1992;5,03563493896803
"Ukraine";1992;-9,69899857994184
"United Kingdom";1992;0,401082063847213
"Yugoslavia";1992;NA
"Albania";1993;9,55941169434753
"Andorra";1993;-1,0314840109577
"Armenia";1993;-8,7999987932935
"Australia";1993;4,02990646050326
"Austria";1993;0,526809203706492
"Azerbaijan";1993;-23,0999993095445
"Belarus";1993;-7,60000184221087
"Belgium";1993;-0,961873309776593
"Bosnia and Herzegovina";1993;NA
"Bulgaria";1993;-1,48021475855352
"Croatia";1993;NA
"Cyprus";1993;0,700000488145378
"Czech Republic";1993;0,0619042687638398
"Denmark";1993;0,0106876308268369
"Estonia";1993;NA
"Finland";1993;-0,661998030419085
"France";1993;-0,628666351905437
"Georgia";1993;-29,3000019726578
"Germany";1993;-0,976849818160517
"Greece";1993;-1,60000009687886
"Hungary";1993;-0,576108516775179
"Iceland";1993;1,3134493920417
"Ireland";1993;2,69260867693511
"Israel";1993;4,11675635345318
"Italy";1993;-0,852805763831867
"Latvia";1993;NA
"Lithuania";1993;NA
"Luxembourg";1993;4,20064754425511
"Macedonia";1993;-7,46927131858557
"Malta";1993;4,48074935883729
"Moldova";1993;NA
"Monaco";1993;-0,913917519098277
"Montenegro";1993;NA
"Morocco";1993;-0,740591692022178
"Netherlands";1993;1,25755215783573
"Norway";1993;2,84532436675762
"Poland";1993;3,73831030820928
"Portugal";1993;-2,04327653157694
"Romania";1993;1,52883449664077
"Russia";1993;-8,66854034149263
"San Marino";1993;NA
"Serbia";1993;NA
"Serbia and Montenegro";1993;NA
"Slovakia";1993;1,90132700913716
"Slovenia";1993;2,8434193136729
"Spain";1993;-1,03149186343941
"Sweden";1993;-2,06561636960983
"Switzerland";1993;-0,125983574259308
"Turkey";1993;7,65126520301509
"Ukraine";1993;-14,2261068823113
"United Kingdom";1993;2,48983097485453
"Yugoslavia";1993;NA
"Albania";1994;8,30286659112861
"Andorra";1994;2,38318769098808
"Armenia";1994;5,40000277917656
"Australia";1994;3,98389015293171
"Austria";1994;2,40211907379886
"Azerbaijan";1994;-19,7000007224173
"Belarus";1994;-11,7000038975536
"Belgium";1994;3,22697152488935
"Bosnia and Herzegovina";1994;NA
"Bulgaria";1994;1,81801119768079
"Croatia";1994;NA
"Cyprus";1994;5,89999870094493
"Czech Republic";1994;2,90930943320329
"Denmark";1994;5,33246271155308
"Estonia";1994;-1,6424213048235
"Finland";1994;3,96305242370121
"France";1994;2,35834218111899
"Georgia";1994;-10,3999939717277
"Germany";1994;2,39189207051331
"Greece";1994;1,99999982223559
"Hungary";1994;2,94715455833949
"Iceland";1994;3,60885795149595
"Ireland";1994;5,75582782660278
"Israel";1994;7,42784525298399
"Italy";1994;2,15102363802566
"Latvia";1994;NA
"Lithuania";1994;NA
"Luxembourg";1994;3,82091866137451
"Macedonia";1994;-1,75816618126913
"Malta";1994;5,65110473736064
"Moldova";1994;NA
"Monaco";1994;2,21562341135819
"Montenegro";1994;NA
"Morocco";1994;10,5880004006168
"Netherlands";1994;2,96109256914634
"Norway";1994;5,05542738771337
"Poland";1994;5,29280205842002
"Portugal";1994;0,964837925343673
"Romania";1994;3,93194272962506
"Russia";1994;-12,5697559797978
"San Marino";1994;NA
"Serbia";1994;NA
"Serbia and Montenegro";1994;NA
"Slovakia";1994;6,20552967875099
"Slovenia";1994;5,32748574261765
"Spain";1994;2,38319539651248
"Sweden";1994;3,92997283681697
"Switzerland";1994;1,26975768793037
"Turkey";1994;-4,66814736394838
"Ukraine";1994;-22,9340455357513
"United Kingdom";1994;3,84600913053607
"Yugoslavia";1994;NA
"Albania";1995;13,3223333200803
"Andorra";1995;2,75749918732981
"Armenia";1995;6,89999841973659
"Australia";1995;3,837755292963
"Austria";1995;2,66798353089548
"Azerbaijan";1995;-11,7999997319416
"Belarus";1995;-10,4000004914994
"Belgium";1995;2,38475727961249
"Bosnia and Herzegovina";1995;20,7999983991834
"Bulgaria";1995;2,8550510546256
"Croatia";1995;NA
"Cyprus";1995;8,36246930466569
"Czech Republic";1995;6,50081352909872
"Denmark";1995;3,0275872672533
"Estonia";1995;4,5266785598991
"Finland";1995;4,21686746987953
"France";1995;2,10669525325974
"Georgia";1995;2,59999672433722
"Germany";1995;1,54414649556445
"Greece";1995;2,0997198850111
"Hungary";1995;1,48952547509282
"Iceland";1995;0,116583692968035
"Ireland";1995;9,63442181333134
"Israel";1995;10,6888486037478
"Italy";1995;2,88683675924553
"Latvia";1995;NA
"Lithuania";1995;NA
"Luxembourg";1995;1,43220058790506
"Macedonia";1995;-1,11472769414412
"Malta";1995;6,34249318337498
"Moldova";1995;NA
"Monaco";1995;2,11715231125696
"Montenegro";1995;NA
"Morocco";1995;-5,40544786715996
"Netherlands";1995;3,11603598565915
"Norway";1995;4,15549133419204
"Poland";1995;7,10286553810295
"Portugal";1995;4,28278045950353
"Romania";1995;6,23351148371351
"Russia";1995;-4,14352840564905
"San Marino";1995;NA
"Serbia";1995;NA
"Serbia and Montenegro";1995;NA
"Slovakia";1995;5,84349598957452
"Slovenia";1995;4,10715835567802
"Spain";1995;2,75749399442464
"Sweden";1995;3,93519292606446
"Switzerland";1995;0,480866508886393
"Turkey";1995;7,87826687618991
"Ukraine";1995;-12,2000000224324
"United Kingdom";1995;2,53167003665999
"Yugoslavia";1995;NA
"Albania";1996;9,09999944360231
"Andorra";1996;4,64974014875021
"Armenia";1996;5,86540074943565
"Australia";1996;3,87858529337824
"Austria";1996;2,34953385169727
"Azerbaijan";1996;1,29999946501567
"Belarus";1996;2,80000465053934
"Belgium";1996;1,32145093041325
"Bosnia and Herzegovina";1996;88,9576668151009
"Bulgaria";1996;5,13891551042298
"Croatia";1996;5,90533971044781
"Cyprus";1996;1,24858157644654
"Czech Republic";1996;4,26541664546846
"Denmark";1996;2,90009976874006
"Estonia";1996;4,93597295875719
"Finland";1996;3,66717982978477
"France";1996;1,41299367250002
"Georgia";1996;11,2000020075437
"Germany";1996;0,80582289149001
"Greece";1996;2,86212937469028
"Hungary";1996;0,0824118000692522
"Iceland";1996;4,5731637764368
"Ireland";1996;7,41422951086483
"Israel";1996;5,03281706744612
"Italy";1996;1,26678480191715
"Latvia";1996;2,56942619726121
"Lithuania";1996;5,15846431747072
"Luxembourg";1996;1,38843119041294
