From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Monaco;Albania;174;159;0;0,00%;0,00%;2,43%;-2,43%
Slovakia;Albania;232;256;0;0,00%;0,00%;2,66%;-2,66%
Luxembourg;Albania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Albania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Albania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Australia;Andorra;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Italy;Andorra;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Andorra;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Andorra;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Andorra;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Albania;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Belarus;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Belgium;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
BosniaHerzegovina;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Croatia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Cyprus;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Denmark;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Estonia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Finland;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
France;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Germany;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Greece;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Iceland;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Ireland;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Israel;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Latvia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Lithuania;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Macedonia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Malta;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Netherlands;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Norway;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Poland;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Portugal;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Romania;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Russia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Slovenia;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Spain;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Sweden;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Switzerland;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Turkey;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Ukraine;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
UnitedKingdom;Andorra;348;0;0;0,00%;-1,00%;0,00%;0,00%
Bulgaria;Andorra;290;0;0;0,00%;-1,00%;0,00%;0,00%
Moldova;Andorra;290;0;0;0,00%;-1,00%;0,00%;0,00%
Armenia;Andorra;232;0;0;0,00%;-1,00%;0,00%;0,00%
Hungary;Andorra;232;0;0;0,00%;-1,00%;0,00%;0,00%
Austria;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Czech;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Monaco;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Montenegro;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Andorra;174;0;0;0,00%;-1,00%;0,00%;0,00%
Azerbaijan;Andorra;116;0;0;0,00%;-1,00%;0,00%;0,00%
Georgia;Andorra;116;0;0;0,00%;-1,00%;0,00%;0,00%
SanMarino;Andorra;58;0;0;0,00%;-1,00%;0,00%;0,00%
Slovakia;Andorra;58;0;0;0,00%;-1,00%;0,00%;0,00%
Georgia;Armenia;870;1055;93;10,69%;8,82%;2,94%;7,75%
Russia;Armenia;870;1197;91;10,46%;7,60%;3,36%;7,10%
France;Armenia;986;1276;86;8,72%;6,74%;3,15%;5,58%
Bulgaria;Armenia;754;1068;70;9,28%;6,55%;3,41%;5,87%
Turkey;Armenia;348;699;44;12,64%;6,30%;4,88%;7,76%
Czech;Armenia;696;791;46;6,61%;5,82%;2,71%;3,90%
Greece;Armenia;986;1276;71;7,20%;5,56%;3,15%;4,05%
Netherlands;Armenia;986;1276;66;6,69%;5,17%;3,15%;3,55%
Cyprus;Armenia;928;1102;53;5,71%;4,81%;2,87%;2,84%
Spain;Armenia;986;1276;60;6,09%;4,70%;3,15%;2,94%
Belgium;Armenia;986;1276;58;5,88%;4,55%;3,15%;2,74%
Israel;Armenia;986;1276;55;5,58%;4,31%;3,15%;2,43%
Ukraine;Armenia;812;1242;51;6,28%;4,11%;3,71%;2,57%
Belarus;Armenia;986;1276;52;5,27%;4,08%;3,15%;2,13%
Poland;Armenia;928;1235;39;4,20%;3,16%;3,23%;0,98%
Moldova;Armenia;986;1276;39;3,96%;3,06%;3,15%;0,81%
Slovakia;Armenia;174;233;7;4,02%;3,00%;3,24%;0,78%
SanMarino;Armenia;754;776;21;2,79%;2,71%;2,49%;0,30%
Austria;Armenia;754;715;19;2,52%;2,66%;2,30%;0,22%
Montenegro;Armenia;812;1006;25;3,08%;2,49%;3,00%;0,08%
Romania;Armenia;870;1027;25;2,87%;2,43%;2,88%;0,00%
Germany;Armenia;986;1276;26;2,64%;2,04%;3,15%;-0,51%
Macedonia;Armenia;986;1276;24;2,43%;1,88%;3,15%;-0,71%
Serbia;Armenia;870;973;16;1,84%;1,64%;2,69%;-0,85%
Latvia;Armenia;986;1276;17;1,72%;1,33%;3,15%;-1,42%
Hungary;Armenia;870;1006;13;1,49%;1,29%;2,79%;-1,30%
Malta;Armenia;986;1276;15;1,52%;1,18%;3,15%;-1,63%
Sweden;Armenia;986;1276;15;1,52%;1,18%;3,15%;-1,63%
Slovenia;Armenia;986;1276;12;1,22%;0,94%;3,15%;-1,93%
Italy;Armenia;696;577;5;0,72%;0,87%;2,01%;-1,29%
Albania;Armenia;986;1276;11;1,12%;0,86%;3,15%;-2,03%
BosniaHerzegovina;Armenia;464;948;8;1,72%;0,84%;4,94%;-3,21%
Portugal;Armenia;812;986;8;0,99%;0,81%;2,95%;-1,97%
Lithuania;Armenia;986;1276;9;0,91%;0,71%;3,15%;-2,23%
Iceland;Armenia;986;1276;8;0,81%;0,63%;3,15%;-2,34%
Estonia;Armenia;986;1276;5;0,51%;0,39%;3,15%;-2,64%
Finland;Armenia;986;1276;5;0,51%;0,39%;3,15%;-2,64%
Croatia;Armenia;870;1068;4;0,46%;0,37%;2,96%;-2,50%
Australia;Armenia;522;362;1;0,19%;0,28%;1,66%;-1,47%
Denmark;Armenia;986;1276;3;0,30%;0,24%;3,15%;-2,84%
Azerbaijan;Armenia;870;1009;0;0,00%;0,00%;2,81%;-2,81%
Ireland;Armenia;986;1276;0;0,00%;0,00%;3,15%;-3,15%
Norway;Armenia;986;1276;0;0,00%;0,00%;3,15%;-3,15%
Switzerland;Armenia;986;1276;0;0,00%;0,00%;3,15%;-3,15%
UnitedKingdom;Armenia;986;1276;0;0,00%;0,00%;3,15%;-3,15%
Andorra;Armenia;232;558;0;0,00%;0,00%;5,83%;-5,83%
Monaco;Armenia;58;129;0;0,00%;0,00%;5,85%;-5,85%
Serbia&Montenegro;Armenia;58;129;0;0,00%;0,00%;5,85%;-5,85%
Luxembourg;Armenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Armenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Armenia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Sweden;Australia;522;1263;65;12,45%;5,15%;5,79%;6,66%
Iceland;Australia;522;1263;56;10,73%;4,43%;5,79%;4,94%
Poland;Australia;522;1263;54;10,34%;4,28%;5,79%;4,55%
UnitedKingdom;Australia;522;1263;53;10,15%;4,20%;5,79%;4,36%
Denmark;Australia;522;1263;52;9,96%;4,12%;5,79%;4,17%
Finland;Australia;522;1263;46;8,81%;3,64%;5,79%;3,02%
Germany;Australia;522;1263;45;8,62%;3,56%;5,79%;2,83%
Spain;Australia;522;1263;42;8,05%;3,33%;5,79%;2,26%
Norway;Australia;522;1263;41;7,85%;3,25%;5,79%;2,06%
Israel;Australia;522;1263;40;7,66%;3,17%;5,79%;1,87%
Moldova;Australia;522;1263;40;7,66%;3,17%;5,79%;1,87%
Hungary;Australia;522;1263;37;7,09%;2,93%;5,79%;1,30%
Romania;Australia;406;752;22;5,42%;2,93%;4,44%;0,98%
Albania;Australia;522;1263;34;6,51%;2,69%;5,79%;0,72%
Belgium;Australia;522;1263;34;6,51%;2,69%;5,79%;0,72%
Latvia;Australia;522;1263;33;6,32%;2,61%;5,79%;0,53%
Malta;Australia;522;1263;33;6,32%;2,61%;5,79%;0,53%
Netherlands;Australia;522;1263;33;6,32%;2,61%;5,79%;0,53%
BosniaHerzegovina;Australia;116;511;13;11,21%;2,54%;10,49%;0,72%
Austria;Australia;522;1263;30;5,75%;2,38%;5,79%;-0,04%
France;Australia;522;1263;30;5,75%;2,38%;5,79%;-0,04%
Macedonia;Australia;522;1263;29;5,56%;2,30%;5,79%;-0,24%
Switzerland;Australia;522;1263;29;5,56%;2,30%;5,79%;-0,24%
Estonia;Australia;522;1263;28;5,36%;2,22%;5,79%;-0,43%
Croatia;Australia;464;1067;23;4,96%;2,16%;5,48%;-0,52%
Portugal;Australia;406;752;16;3,94%;2,13%;4,44%;-0,50%
Cyprus;Australia;522;1263;25;4,79%;1,98%;5,79%;-1,00%
Ireland;Australia;522;1263;25;4,79%;1,98%;5,79%;-1,00%
Serbia;Australia;522;1263;25;4,79%;1,98%;5,79%;-1,00%
Belarus;Australia;522;1263;24;4,60%;1,90%;5,79%;-1,19%
Italy;Australia;522;1263;24;4,60%;1,90%;5,79%;-1,19%
Lithuania;Australia;522;1263;24;4,60%;1,90%;5,79%;-1,19%
Russia;Australia;406;1090;19;4,68%;1,74%;6,44%;-1,76%
Greece;Australia;522;1263;22;4,22%;1,74%;5,79%;-1,58%
Bulgaria;Australia;348;783;13;3,74%;1,66%;5,32%;-1,58%
Ukraine;Australia;348;783;13;3,74%;1,66%;5,32%;-1,58%
Slovenia;Australia;522;1263;20;3,83%;1,58%;5,79%;-1,96%
Czech;Australia;522;1263;19;3,64%;1,50%;5,79%;-2,15%
SanMarino;Australia;522;1263;15;2,87%;1,19%;5,79%;-2,92%
Azerbaijan;Australia;522;1263;11;2,11%;0,87%;5,79%;-3,68%
Armenia;Australia;522;1263;9;1,72%;0,71%;5,79%;-4,07%
Georgia;Australia;522;1263;9;1,72%;0,71%;5,79%;-4,07%
Montenegro;Australia;522;1263;8;1,53%;0,63%;5,79%;-4,26%
Andorra;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Turkey;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Australia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Turkey;Austria;464;234;23;4,96%;9,83%;1,46%;3,50%
Bulgaria;Austria;638;650;37;5,80%;5,69%;2,44%;3,36%
Switzerland;Austria;1044;1009;52;4,98%;5,15%;2,48%;2,50%
BosniaHerzegovina;Austria;522;351;17;3,26%;4,84%;1,80%;1,46%
Netherlands;Austria;1044;1084;51;4,89%;4,71%;2,66%;2,23%
Slovakia;Austria;116;64;3;2,59%;4,69%;1,30%;1,29%
Portugal;Austria;812;899;40;4,93%;4,45%;2,78%;2,14%
Germany;Austria;1102;1110;47;4,27%;4,23%;2,63%;1,64%
Belgium;Austria;1102;1110;45;4,08%;4,05%;2,63%;1,45%
Iceland;Austria;1044;1084;43;4,12%;3,97%;2,66%;1,46%
Slovenia;Austria;1044;1076;42;4,02%;3,90%;2,64%;1,39%
Sweden;Austria;1102;1110;43;3,90%;3,87%;2,63%;1,27%
Spain;Austria;1102;1110;41;3,72%;3,69%;2,63%;1,09%
Finland;Austria;1044;1009;36;3,45%;3,57%;2,48%;0,97%
Denmark;Austria;1044;1009;35;3,35%;3,47%;2,48%;0,87%
France;Austria;1102;1110;38;3,45%;3,42%;2,63%;0,82%
UnitedKingdom;Austria;1102;1110;38;3,45%;3,42%;2,63%;0,82%
Lithuania;Austria;986;975;31;3,14%;3,18%;2,48%;0,67%
Norway;Austria;1044;1084;34;3,26%;3,14%;2,66%;0,60%
Hungary;Austria;870;940;29;3,33%;3,09%;2,62%;0,71%
Estonia;Austria;1102;1110;34;3,09%;3,06%;2,63%;0,46%
Latvia;Austria;1102;1110;32;2,90%;2,88%;2,63%;0,28%
Georgia;Austria;812;940;27;3,33%;2,87%;2,80%;0,53%
Israel;Austria;1102;1110;28;2,54%;2,52%;2,63%;-0,09%
Ireland;Austria;1044;1084;27;2,59%;2,49%;2,66%;-0,07%
Czech;Austria;580;586;13;2,24%;2,22%;2,42%;-0,18%
Romania;Austria;986;959;21;2,13%;2,19%;2,57%;-0,44%
Italy;Austria;754;940;20;2,65%;2,13%;3,02%;-0,37%
Australia;Austria;522;586;11;2,11%;1,88%;2,69%;-0,58%
Greece;Austria;1044;1076;20;1,92%;1,86%;2,64%;-0,72%
Croatia;Austria;986;820;15;1,52%;1,83%;2,17%;-0,65%
Moldova;Austria;870;940;16;1,84%;1,70%;2,62%;-0,78%
Armenia;Austria;754;940;15;1,99%;1,60%;3,02%;-1,03%
Poland;Austria;870;1050;16;1,84%;1,52%;3,02%;-1,18%
Belarus;Austria;928;949;14;1,51%;1,48%;2,50%;-0,99%
Ukraine;Austria;812;1050;15;1,85%;1,43%;3,24%;-1,40%
Russia;Austria;986;1017;14;1,42%;1,38%;2,72%;-1,30%
Malta;Austria;1102;1110;15;1,36%;1,35%;2,63%;-1,27%
Serbia;Austria;754;650;8;1,06%;1,23%;2,07%;-1,01%
Cyprus;Austria;1044;820;7;0,67%;0,85%;2,05%;-1,38%
Albania;Austria;928;949;7;0,75%;0,74%;2,50%;-1,75%
Macedonia;Austria;1044;1009;5;0,48%;0,50%;2,48%;-2,00%
Montenegro;Austria;754;876;3;0,40%;0,34%;2,82%;-2,42%
Azerbaijan;Austria;754;940;1;0,13%;0,11%;3,02%;-2,89%
SanMarino;Austria;754;940;1;0,13%;0,11%;3,02%;-2,89%
Andorra;Austria;174;9;0;0,00%;0,00%;0,13%;-0,13%
Monaco;Austria;116;9;0;0,00%;0,00%;0,21%;-0,21%
Serbia&Montenegro;Austria;116;9;0;0,00%;0,00%;0,21%;-0,21%
Luxembourg;Austria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Austria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Austria;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Georgia;Azerbaijan;870;1503;108;12,41%;7,19%;4,19%;8,22%
Russia;Azerbaijan;812;1590;112;13,79%;7,04%;4,75%;9,04%
Turkey;Azerbaijan;290;855;60;20,69%;7,02%;7,05%;13,64%
Ukraine;Azerbaijan;754;1359;88;11,67%;6,48%;4,35%;7,32%
Czech;Azerbaijan;638;927;60;9,40%;6,47%;3,47%;5,94%
Moldova;Azerbaijan;928;1710;95;10,24%;5,56%;4,46%;5,78%
Malta;Azerbaijan;928;1710;73;7,87%;4,27%;4,46%;3,41%
Belarus;Azerbaijan;928;1710;71;7,65%;4,15%;4,46%;3,19%
Bulgaria;Azerbaijan;696;1326;51;7,33%;3,85%;4,55%;2,77%
Hungary;Azerbaijan;870;1565;59;6,78%;3,77%;4,34%;2,44%
Lithuania;Azerbaijan;928;1710;61;6,57%;3,57%;4,46%;2,11%
BosniaHerzegovina;Azerbaijan;406;972;34;8,37%;3,50%;5,72%;2,65%
Montenegro;Azerbaijan;812;1344;46;5,67%;3,42%;4,00%;1,66%
Greece;Azerbaijan;928;1710;53;5,71%;3,10%;4,46%;1,25%
SanMarino;Azerbaijan;812;1358;42;5,17%;3,09%;4,04%;1,14%
Israel;Azerbaijan;928;1710;52;5,60%;3,04%;4,46%;1,14%
Cyprus;Azerbaijan;870;1677;51;5,86%;3,04%;4,63%;1,23%
Romania;Azerbaijan;812;1593;45;5,54%;2,83%;4,76%;0,78%
Poland;Azerbaijan;812;1326;34;4,19%;2,56%;3,94%;0,25%
Slovakia;Azerbaijan;232;723;17;7,33%;2,35%;7,51%;-0,18%
Albania;Azerbaijan;928;1710;36;3,88%;2,11%;4,46%;-0,58%
Andorra;Azerbaijan;116;339;7;6,03%;2,07%;6,88%;-0,84%
Portugal;Azerbaijan;754;1359;28;3,71%;2,06%;4,36%;-0,64%
Austria;Azerbaijan;754;1226;25;3,32%;2,04%;3,94%;-0,62%
Sweden;Azerbaijan;928;1710;29;3,13%;1,70%;4,46%;-1,34%
Croatia;Azerbaijan;812;1628;27;3,33%;1,66%;4,81%;-1,48%
Latvia;Azerbaijan;928;1710;28;3,02%;1,64%;4,46%;-1,44%
Italy;Azerbaijan;754;1226;20;2,65%;1,63%;3,94%;-1,28%
Belgium;Azerbaijan;928;1710;27;2,91%;1,58%;4,46%;-1,55%
Netherlands;Azerbaijan;928;1710;25;2,69%;1,46%;4,46%;-1,77%
Norway;Azerbaijan;928;1710;25;2,69%;1,46%;4,46%;-1,77%
Iceland;Azerbaijan;928;1710;24;2,59%;1,40%;4,46%;-1,87%
Spain;Azerbaijan;928;1710;24;2,59%;1,40%;4,46%;-1,87%
Macedonia;Azerbaijan;928;1710;22;2,37%;1,29%;4,46%;-2,09%
Estonia;Azerbaijan;928;1710;21;2,26%;1,23%;4,46%;-2,20%
France;Azerbaijan;928;1710;21;2,26%;1,23%;4,46%;-2,20%
Denmark;Azerbaijan;928;1710;19;2,05%;1,11%;4,46%;-2,41%
Slovenia;Azerbaijan;928;1710;19;2,05%;1,11%;4,46%;-2,41%
Serbia;Azerbaijan;870;1677;15;1,72%;0,89%;4,63%;-2,91%
UnitedKingdom;Azerbaijan;928;1710;15;1,62%;0,88%;4,46%;-2,84%
Ireland;Azerbaijan;928;1710;14;1,51%;0,82%;4,46%;-2,95%
Finland;Azerbaijan;928;1710;9;0,97%;0,53%;4,46%;-3,49%
Switzerland;Azerbaijan;928;1710;9;0,97%;0,53%;4,46%;-3,49%
Australia;Azerbaijan;522;588;3;0,57%;0,51%;2,70%;-2,12%
Germany;Azerbaijan;928;1710;5;0,54%;0,29%;4,46%;-3,92%
Armenia;Azerbaijan;870;1560;1;0,11%;0,06%;4,35%;-4,23%
Luxembourg;Azerbaijan;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Azerbaijan;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Azerbaijan;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Azerbaijan;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Azerbaijan;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Ukraine;Belarus;986;337;50;5,07%;14,84%;0,84%;4,23%
Russia;Belarus;1044;285;41;3,93%;14,39%;0,67%;3,26%
Azerbaijan;Belarus;928;223;32;3,45%;14,35%;0,58%;2,87%
Georgia;Belarus;928;368;31;3,34%;8,42%;0,96%;2,38%
Moldova;Belarus;1102;368;26;2,36%;7,07%;0,81%;1,55%
Armenia;Belarus;986;368;24;2,43%;6,52%;0,91%;1,53%
Israel;Belarus;1160;368;19;1,64%;5,16%;0,78%;0,86%
Latvia;Belarus;1160;368;16;1,38%;4,35%;0,78%;0,60%
Malta;Belarus;1160;368;14;1,21%;3,80%;0,78%;0,43%
Poland;Belarus;1044;320;11;1,05%;3,44%;0,75%;0,30%
Hungary;Belarus;986;350;12;1,22%;3,43%;0,86%;0,36%
Lithuania;Belarus;1160;368;12;1,03%;3,26%;0,78%;0,26%
Macedonia;Belarus;1160;368;12;1,03%;3,26%;0,78%;0,26%
Estonia;Belarus;1160;368;10;0,86%;2,72%;0,78%;0,08%
BosniaHerzegovina;Belarus;638;163;4;0,63%;2,45%;0,63%;0,00%
Greece;Belarus;1160;368;9;0,78%;2,45%;0,78%;0,00%
Austria;Belarus;928;350;7;0,75%;2,00%;0,92%;-0,17%
Montenegro;Belarus;870;350;7;0,80%;2,00%;0,97%;-0,17%
Czech;Belarus;696;259;5;0,72%;1,93%;0,89%;-0,17%
Cyprus;Belarus;1102;325;6;0,54%;1,85%;0,72%;-0,17%
Croatia;Belarus;1044;325;5;0,48%;1,54%;0,76%;-0,28%
Bulgaria;Belarus;870;294;4;0,46%;1,36%;0,82%;-0,36%
Iceland;Belarus;1160;368;4;0,34%;1,09%;0,78%;-0,43%
Serbia;Belarus;928;325;2;0,22%;0,62%;0,84%;-0,63%
Albania;Belarus;1160;368;2;0,17%;0,54%;0,78%;-0,61%
Portugal;Belarus;986;320;1;0,10%;0,31%;0,80%;-0,69%
UnitedKingdom;Belarus;1160;368;1;0,09%;0,27%;0,78%;-0,69%
Romania;Belarus;1044;368;1;0,10%;0,27%;0,87%;-0,77%
Slovakia;Belarus;232;18;0;0,00%;0,00%;0,19%;-0,19%
Australia;Belarus;522;114;0;0,00%;0,00%;0,52%;-0,52%
SanMarino;Belarus;812;205;0;0,00%;0,00%;0,61%;-0,61%
Italy;Belarus;754;205;0;0,00%;0,00%;0,66%;-0,66%
Turkey;Belarus;522;163;0;0,00%;0,00%;0,77%;-0,77%
Belgium;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Denmark;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Finland;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
France;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Germany;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Ireland;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Netherlands;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Norway;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Slovenia;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Spain;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Sweden;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Switzerland;Belarus;1160;368;0;0,00%;0,00%;0,78%;-0,78%
Andorra;Belarus;348;145;0;0,00%;0,00%;1,04%;-1,04%
Luxembourg;Belarus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Belarus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Belarus;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Belarus;174;0;0;0,00%;-1,00%;0,00%;0,00%
Serbia&Montenegro;Belarus;174;0;0;0,00%;-1,00%;0,00%;0,00%
Andorra;Belgium;348;7;1;0,29%;14,29%;0,05%;0,24%
Slovakia;Belgium;232;143;10;4,31%;6,99%;1,49%;2,83%
Netherlands;Belgium;1276;1149;73;5,72%;6,35%;2,29%;3,43%
Denmark;Belgium;1276;1017;50;3,92%;4,92%;2,03%;1,89%
Turkey;Belgium;696;350;17;2,44%;4,86%;1,38%;1,07%
Ireland;Belgium;1276;1149;55;4,31%;4,79%;2,29%;2,02%
Poland;Belgium;1102;1076;49;4,45%;4,55%;2,44%;2,01%
Australia;Belgium;522;761;34;6,51%;4,47%;3,49%;3,02%
France;Belgium;1334;1182;50;3,75%;4,23%;2,29%;1,46%
