From;To;Points given by voting;Points given to voted;Points given from voting to voted
Macedonia;Albania;1160;778;117
Montenegro;Albania;870;557;69
Greece;Albania;1160;778;88
Serbia and Montenegro;Albania;174;159;16
Switzerland;Albania;1160;778;68
Italy;Albania;754;454;37
Turkey;Albania;522;470;31
Croatia;Albania;1044;744;37
Bosnia and Herzegovina;Albania;638;470;21
San Marino;Albania;812;509;22
Austria;Albania;928;613;25
Hungary;Albania;986;610;20
Azerbaijan;Albania;928;619;20
Belgium;Albania;1160;778;22
Iceland;Albania;1160;778;21
Slovenia;Albania;1160;778;18
Bulgaria;Albania;870;548;11
Malta;Albania;1160;778;13
Germany;Albania;1160;778;12
Cyprus;Albania;1102;778;12
Czech Republic;Albania;696;411;6
Poland;Albania;1044;632;9
Portugal;Albania;986;778;10
Georgia;Albania;928;571;7
Denmark;Albania;1160;778;9
Finland;Albania;1160;778;9
Sweden;Albania;1160;778;9
United Kingdom;Albania;1160;778;9
Belarus;Albania;1160;778;7
Romania;Albania;1044;778;5
Ireland;Albania;1160;778;4
Norway;Albania;1160;778;3
Russia;Albania;1044;778;3
Serbia;Albania;928;619;2
France;Albania;1160;778;2
Latvia;Albania;1160;778;2
Estonia;Albania;1160;778;1
Netherlands;Albania;1160;778;1
Armenia;Albania;986;473;0
Australia;Albania;522;308;0
Moldova;Albania;1102;672;0
Ukraine;Albania;986;654;0
Israel;Albania;1160;778;0
Lithuania;Albania;1160;778;0
Spain;Albania;1160;778;0
Andorra;Albania;348;262;0
Monaco;Albania;174;159;0
Slovakia;Albania;232;256;0
Luxembourg;Albania;0;0;0
Morocco;Albania;0;0;0
Yugoslavia;Albania;0;0;0
Australia;Andorra;0;0;0
Italy;Andorra;0;0;0
Luxembourg;Andorra;0;0;0
Morocco;Andorra;0;0;0
Yugoslavia;Andorra;0;0;0
Albania;Andorra;348;0;0
Belarus;Andorra;348;0;0
Belgium;Andorra;348;0;0
Bosnia and Herzegovina;Andorra;348;0;0
Croatia;Andorra;348;0;0
Cyprus;Andorra;348;0;0
Denmark;Andorra;348;0;0
Estonia;Andorra;348;0;0
Finland;Andorra;348;0;0
France;Andorra;348;0;0
Germany;Andorra;348;0;0
Greece;Andorra;348;0;0
Iceland;Andorra;348;0;0
Ireland;Andorra;348;0;0
Israel;Andorra;348;0;0
Latvia;Andorra;348;0;0
Lithuania;Andorra;348;0;0
Macedonia;Andorra;348;0;0
Malta;Andorra;348;0;0
Netherlands;Andorra;348;0;0
Norway;Andorra;348;0;0
Poland;Andorra;348;0;0
Portugal;Andorra;348;0;0
Romania;Andorra;348;0;0
Russia;Andorra;348;0;0
Slovenia;Andorra;348;0;0
Spain;Andorra;348;0;0
Sweden;Andorra;348;0;0
Switzerland;Andorra;348;0;0
Turkey;Andorra;348;0;0
Ukraine;Andorra;348;0;0
United Kingdom;Andorra;348;0;0
Bulgaria;Andorra;290;0;0
Moldova;Andorra;290;0;0
Armenia;Andorra;232;0;0
Hungary;Andorra;232;0;0
Austria;Andorra;174;0;0
Czech Republic;Andorra;174;0;0
Monaco;Andorra;174;0;0
Montenegro;Andorra;174;0;0
Serbia;Andorra;174;0;0
Serbia and Montenegro;Andorra;174;0;0
Azerbaijan;Andorra;116;0;0
Georgia;Andorra;116;0;0
San Marino;Andorra;58;0;0
Slovakia;Andorra;58;0;0
Georgia;Armenia;870;1055;93
Russia;Armenia;870;1197;91
France;Armenia;986;1276;86
Bulgaria;Armenia;754;1068;70
Turkey;Armenia;348;699;44
Czech Republic;Armenia;696;791;46
Greece;Armenia;986;1276;71
Netherlands;Armenia;986;1276;66
Cyprus;Armenia;928;1102;53
Spain;Armenia;986;1276;60
Belgium;Armenia;986;1276;58
Israel;Armenia;986;1276;55
Ukraine;Armenia;812;1242;51
Belarus;Armenia;986;1276;52
Poland;Armenia;928;1235;39
Moldova;Armenia;986;1276;39
Slovakia;Armenia;174;233;7
San Marino;Armenia;754;776;21
Austria;Armenia;754;715;19
Montenegro;Armenia;812;1006;25
Romania;Armenia;870;1027;25
Germany;Armenia;986;1276;26
Macedonia;Armenia;986;1276;24
Serbia;Armenia;870;973;16
Latvia;Armenia;986;1276;17
Hungary;Armenia;870;1006;13
Malta;Armenia;986;1276;15
Sweden;Armenia;986;1276;15
Slovenia;Armenia;986;1276;12
Italy;Armenia;696;577;5
Albania;Armenia;986;1276;11
Bosnia and Herzegovina;Armenia;464;948;8
Portugal;Armenia;812;986;8
Lithuania;Armenia;986;1276;9
Iceland;Armenia;986;1276;8
Estonia;Armenia;986;1276;5
Finland;Armenia;986;1276;5
Croatia;Armenia;870;1068;4
Australia;Armenia;522;362;1
Denmark;Armenia;986;1276;3
Azerbaijan;Armenia;870;1009;0
Ireland;Armenia;986;1276;0
Norway;Armenia;986;1276;0
Switzerland;Armenia;986;1276;0
United Kingdom;Armenia;986;1276;0
Andorra;Armenia;232;558;0
Monaco;Armenia;58;129;0
Serbia and Montenegro;Armenia;58;129;0
Luxembourg;Armenia;0;0;0
Morocco;Armenia;0;0;0
Yugoslavia;Armenia;0;0;0
Sweden;Australia;522;1263;65
Iceland;Australia;522;1263;56
Poland;Australia;522;1263;54
United Kingdom;Australia;522;1263;53
Denmark;Australia;522;1263;52
Finland;Australia;522;1263;46
Germany;Australia;522;1263;45
Spain;Australia;522;1263;42
Norway;Australia;522;1263;41
Israel;Australia;522;1263;40
Moldova;Australia;522;1263;40
Hungary;Australia;522;1263;37
Romania;Australia;406;752;22
Albania;Australia;522;1263;34
Belgium;Australia;522;1263;34
Latvia;Australia;522;1263;33
Malta;Australia;522;1263;33
Netherlands;Australia;522;1263;33
Bosnia and Herzegovina;Australia;116;511;13
Austria;Australia;522;1263;30
France;Australia;522;1263;30
Macedonia;Australia;522;1263;29
Switzerland;Australia;522;1263;29
Estonia;Australia;522;1263;28
Croatia;Australia;464;1067;23
Portugal;Australia;406;752;16
Cyprus;Australia;522;1263;25
Ireland;Australia;522;1263;25
Serbia;Australia;522;1263;25
Belarus;Australia;522;1263;24
Italy;Australia;522;1263;24
Lithuania;Australia;522;1263;24
Russia;Australia;406;1090;19
Greece;Australia;522;1263;22
Bulgaria;Australia;348;783;13
Ukraine;Australia;348;783;13
Slovenia;Australia;522;1263;20
Czech Republic;Australia;522;1263;19
San Marino;Australia;522;1263;15
Azerbaijan;Australia;522;1263;11
Armenia;Australia;522;1263;9
Georgia;Australia;522;1263;9
Montenegro;Australia;522;1263;8
Andorra;Australia;0;0;0
Luxembourg;Australia;0;0;0
Monaco;Australia;0;0;0
Morocco;Australia;0;0;0
Serbia and Montenegro;Australia;0;0;0
Slovakia;Australia;0;0;0
Turkey;Australia;0;0;0
Yugoslavia;Australia;0;0;0
Turkey;Austria;464;234;23
Bulgaria;Austria;638;650;37
Switzerland;Austria;1044;1009;52
Bosnia and Herzegovina;Austria;522;351;17
Netherlands;Austria;1044;1084;51
Slovakia;Austria;116;64;3
Portugal;Austria;812;899;40
Germany;Austria;1102;1110;47
Belgium;Austria;1102;1110;45
Iceland;Austria;1044;1084;43
Slovenia;Austria;1044;1076;42
Sweden;Austria;1102;1110;43
Spain;Austria;1102;1110;41
Finland;Austria;1044;1009;36
Denmark;Austria;1044;1009;35
France;Austria;1102;1110;38
United Kingdom;Austria;1102;1110;38
Lithuania;Austria;986;975;31
Norway;Austria;1044;1084;34
Hungary;Austria;870;940;29
Estonia;Austria;1102;1110;34
Latvia;Austria;1102;1110;32
Georgia;Austria;812;940;27
Israel;Austria;1102;1110;28
Ireland;Austria;1044;1084;27
Czech Republic;Austria;580;586;13
Romania;Austria;986;959;21
Italy;Austria;754;940;20
Australia;Austria;522;586;11
Greece;Austria;1044;1076;20
Croatia;Austria;986;820;15
Moldova;Austria;870;940;16
Armenia;Austria;754;940;15
Poland;Austria;870;1050;16
Belarus;Austria;928;949;14
Ukraine;Austria;812;1050;15
Russia;Austria;986;1017;14
Malta;Austria;1102;1110;15
Serbia;Austria;754;650;8
Cyprus;Austria;1044;820;7
Albania;Austria;928;949;7
Macedonia;Austria;1044;1009;5
Montenegro;Austria;754;876;3
Azerbaijan;Austria;754;940;1
San Marino;Austria;754;940;1
Andorra;Austria;174;9;0
Monaco;Austria;116;9;0
Serbia and Montenegro;Austria;116;9;0
Luxembourg;Austria;0;0;0
Morocco;Austria;0;0;0
Yugoslavia;Austria;0;0;0
Georgia;Azerbaijan;870;1503;108
Russia;Azerbaijan;812;1590;112
Turkey;Azerbaijan;290;855;60
Ukraine;Azerbaijan;754;1359;88
Czech Republic;Azerbaijan;638;927;60
Moldova;Azerbaijan;928;1710;95
Malta;Azerbaijan;928;1710;73
Belarus;Azerbaijan;928;1710;71
Bulgaria;Azerbaijan;696;1326;51
Hungary;Azerbaijan;870;1565;59
Lithuania;Azerbaijan;928;1710;61
Bosnia and Herzegovina;Azerbaijan;406;972;34
Montenegro;Azerbaijan;812;1344;46
Greece;Azerbaijan;928;1710;53
San Marino;Azerbaijan;812;1358;42
Israel;Azerbaijan;928;1710;52
Cyprus;Azerbaijan;870;1677;51
Romania;Azerbaijan;812;1593;45
Poland;Azerbaijan;812;1326;34
Slovakia;Azerbaijan;232;723;17
Albania;Azerbaijan;928;1710;36
Andorra;Azerbaijan;116;339;7
Portugal;Azerbaijan;754;1359;28
Austria;Azerbaijan;754;1226;25
Sweden;Azerbaijan;928;1710;29
Croatia;Azerbaijan;812;1628;27
Latvia;Azerbaijan;928;1710;28
Italy;Azerbaijan;754;1226;20
Belgium;Azerbaijan;928;1710;27
Netherlands;Azerbaijan;928;1710;25
Norway;Azerbaijan;928;1710;25
Iceland;Azerbaijan;928;1710;24
Spain;Azerbaijan;928;1710;24
Macedonia;Azerbaijan;928;1710;22
Estonia;Azerbaijan;928;1710;21
France;Azerbaijan;928;1710;21
Denmark;Azerbaijan;928;1710;19
Slovenia;Azerbaijan;928;1710;19
Serbia;Azerbaijan;870;1677;15
United Kingdom;Azerbaijan;928;1710;15
Ireland;Azerbaijan;928;1710;14
Finland;Azerbaijan;928;1710;9
Switzerland;Azerbaijan;928;1710;9
Australia;Azerbaijan;522;588;3
Germany;Azerbaijan;928;1710;5
Armenia;Azerbaijan;870;1560;1
Luxembourg;Azerbaijan;0;0;0
Monaco;Azerbaijan;0;0;0
Morocco;Azerbaijan;0;0;0
Serbia and Montenegro;Azerbaijan;0;0;0
Yugoslavia;Azerbaijan;0;0;0
Ukraine;Belarus;986;337;50
Russia;Belarus;1044;285;41
Azerbaijan;Belarus;928;223;32
Georgia;Belarus;928;368;31
Moldova;Belarus;1102;368;26
Armenia;Belarus;986;368;24
Israel;Belarus;1160;368;19
Latvia;Belarus;1160;368;16
Malta;Belarus;1160;368;14
Poland;Belarus;1044;320;11
Hungary;Belarus;986;350;12
Lithuania;Belarus;1160;368;12
Macedonia;Belarus;1160;368;12
Estonia;Belarus;1160;368;10
Bosnia and Herzegovina;Belarus;638;163;4
Greece;Belarus;1160;368;9
Austria;Belarus;928;350;7
Montenegro;Belarus;870;350;7
Czech Republic;Belarus;696;259;5
Cyprus;Belarus;1102;325;6
Croatia;Belarus;1044;325;5
Bulgaria;Belarus;870;294;4
Iceland;Belarus;1160;368;4
Serbia;Belarus;928;325;2
Albania;Belarus;1160;368;2
Portugal;Belarus;986;320;1
United Kingdom;Belarus;1160;368;1
Romania;Belarus;1044;368;1
Slovakia;Belarus;232;18;0
Australia;Belarus;522;114;0
San Marino;Belarus;812;205;0
Italy;Belarus;754;205;0
Turkey;Belarus;522;163;0
Belgium;Belarus;1160;368;0
Denmark;Belarus;1160;368;0
Finland;Belarus;1160;368;0
France;Belarus;1160;368;0
Germany;Belarus;1160;368;0
Ireland;Belarus;1160;368;0
Netherlands;Belarus;1160;368;0
Norway;Belarus;1160;368;0
Slovenia;Belarus;1160;368;0
Spain;Belarus;1160;368;0
Sweden;Belarus;1160;368;0
Switzerland;Belarus;1160;368;0
Andorra;Belarus;348;145;0
Luxembourg;Belarus;0;0;0
Morocco;Belarus;0;0;0
Yugoslavia;Belarus;0;0;0
Monaco;Belarus;174;0;0
Serbia and Montenegro;Belarus;174;0;0
Andorra;Belgium;348;7;1
Slovakia;Belgium;232;143;10
Netherlands;Belgium;1276;1149;73
Denmark;Belgium;1276;1017;50
Turkey;Belgium;696;350;17
Ireland;Belgium;1276;1149;55
Poland;Belgium;1102;1076;49
Australia;Belgium;522;761;34
France;Belgium;1334;1182;50
Russia;Belgium;1218;819;33
Portugal;Belgium;1044;895;34
Latvia;Belgium;1334;1182;42
Germany;Belgium;1334;1182;41
Lithuania;Belgium;1218;1015;35
Iceland;Belgium;1276;1149;39
Switzerland;Belgium;1276;1017;32
Sweden;Belgium;1334;1182;35
Ukraine;Belgium;1044;930;27
Hungary;Belgium;986;832;24
Estonia;Belgium;1334;1182;34
Israel;Belgium;1334;1182;33
San Marino;Belgium;812;832;23
Norway;Belgium;1276;1149;30
Austria;Belgium;1102;1039;27
Finland;Belgium;1276;1017;26
Romania;Belgium;1218;1001;24
Slovenia;Belgium;1276;1180;27
Spain;Belgium;1334;1182;27
Greece;Belgium;1276;1180;26
Serbia;Belgium;928;975;20
United Kingdom;Belgium;1334;1182;23
Italy;Belgium;754;832;16
Bosnia and Herzegovina;Belgium;754;529;10
Bulgaria;Belgium;870;758;14
Belarus;Belgium;1160;982;18
Georgia;Belgium;928;975;16
Czech Republic;Belgium;696;761;12
Montenegro;Belgium;870;832;13
Macedonia;Belgium;1276;1017;15
Cyprus;Belgium;1276;1182;16
Armenia;Belgium;986;975;13
Malta;Belgium;1334;1182;15
Moldova;Belgium;1102;975;8
Albania;Belgium;1160;982;6
Croatia;Belgium;1218;965;5
Azerbaijan;Belgium;928;975;4
Monaco;Belgium;174;7;0
Serbia and Montenegro;Belgium;174;7;0
Luxembourg;Belgium;0;0;0
Morocco;Belgium;0;0;0
Yugoslavia;Belgium;0;0;0
Croatia;Bosnia and Herzegovina;812;1041;118
Austria;Bosnia and Herzegovina;522;516;58
Serbia;Bosnia and Herzegovina;464;553;61
Montenegro;Bosnia and Herzegovina;348;377;35
Turkey;Bosnia and Herzegovina;696;1041;93
Slovenia;Bosnia and Herzegovina;812;1041;90
Macedonia;Bosnia and Herzegovina;696;985;66
Sweden;Bosnia and Herzegovina;812;1041;64
Serbia and Montenegro;Bosnia and Herzegovina;174;399;22
Switzerland;Bosnia and Herzegovina;696;985;54
Albania;Bosnia and Herzegovina;638;952;48
Norway;Bosnia and Herzegovina;754;1008;45
Netherlands;Bosnia and Herzegovina;754;1008;42
Monaco;Bosnia and Herzegovina;174;399;16
Denmark;Bosnia and Herzegovina;754;1014;38
Slovakia;Bosnia and Herzegovina;232;337;10
Germany;Bosnia and Herzegovina;812;1041;24
Finland;Bosnia and Herzegovina;696;985;22
Italy;Bosnia and Herzegovina;232;180;4
France;Bosnia and Herzegovina;812;1041;19
Czech Republic;Bosnia and Herzegovina;290;322;5
Bulgaria;Bosnia and Herzegovina;580;861;13
Azerbaijan;Bosnia and Herzegovina;406;447;5
Ukraine;Bosnia and Herzegovina;696;979;10
Greece;Bosnia and Herzegovina;812;1041;9
Armenia;Bosnia and Herzegovina;464;727;6
Romania;Bosnia and Herzegovina;638;1012;7
Belgium;Bosnia and Herzegovina;754;1012;6
Moldova;Bosnia and Herzegovina;580;861;5
Russia;Bosnia and Herzegovina;812;1041;6
Iceland;Bosnia and Herzegovina;754;1008;5
Ireland;Bosnia and Herzegovina;754;1008;5
Belarus;Bosnia and Herzegovina;638;952;4
Poland;Bosnia and Herzegovina;696;953;4
Lithuania;Bosnia and Herzegovina;754;1014;4
Malta;Bosnia and Herzegovina;812;1041;4
Spain;Bosnia and Herzegovina;812;1041;4
United Kingdom;Bosnia and Herzegovina;812;1041;4
Portugal;Bosnia and Herzegovina;638;1008;2
Cyprus;Bosnia and Herzegovina;754;1012;2
Israel;Bosnia and Herzegovina;812;1041;2
San Marino;Bosnia and Herzegovina;290;290;0
Georgia;Bosnia and Herzegovina;406;447;0
Hungary;Bosnia and Herzegovina;464;581;0
Estonia;Bosnia and Herzegovina;812;1041;0
Latvia;Bosnia and Herzegovina;812;1041;0
Andorra;Bosnia and Herzegovina;348;721;0
Luxembourg;Bosnia and Herzegovina;0;0;0
Morocco;Bosnia and Herzegovina;0;0;0
Yugoslavia;Bosnia and Herzegovina;0;0;0
Australia;Bosnia and Herzegovina;116;0;0
Macedonia;Bulgaria;870;1245;59
Malta;Bulgaria;870;1245;52
Cyprus;Bulgaria;870;1245;51
United Kingdom;Bulgaria;870;1245;51
Turkey;Bulgaria;464;157;6
Albania;Bulgaria;870;1245;46
Spain;Bulgaria;870;1245;43
Azerbaijan;Bulgaria;696;1088;36
Ireland;Bulgaria;870;1245;41
Romania;Bulgaria;754;938;28
Greece;Bulgaria;870;1245;36
Hungary;Bulgaria;754;1245;36
Serbia;Bulgaria;754;1245;36
Australia;Bulgaria;348;1088;31
Moldova;Bulgaria;870;1245;34
Slovenia;Bulgaria;870;1245;34
Austria;Bulgaria;638;1245;34
Belgium;Bulgaria;870;1245;33
Croatia;Bulgaria;870;1245;33
Norway;Bulgaria;870;1245;33
Finland;Bulgaria;870;1245;32
Israel;Bulgaria;870;1245;32
Czech Republic;Bulgaria;522;1245;31
Belarus;Bulgaria;870;1245;30
Bosnia and Herzegovina;Bulgaria;580;464;11
France;Bulgaria;870;1245;29
Portugal;Bulgaria;696;938;21
Estonia;Bulgaria;870;1245;27
Sweden;Bulgaria;870;1245;24
Montenegro;Bulgaria;638;1245;24
Poland;Bulgaria;754;1245;22
Georgia;Bulgaria;696;1245;22
Denmark;Bulgaria;870;1245;21
Germany;Bulgaria;870;1245;21
San Marino;Bulgaria;580;1088;17
Italy;Bulgaria;522;1088;17
Latvia;Bulgaria;870;1245;19
Netherlands;Bulgaria;870;1245;19
Armenia;Bulgaria;754;1245;18
Switzerland;Bulgaria;870;1245;17
Lithuania;Bulgaria;870;1245;16
Iceland;Bulgaria;870;1245;10
Ukraine;Bulgaria;870;1245;8
Russia;Bulgaria;754;630;4
Andorra;Bulgaria;290;157;0
Luxembourg;Bulgaria;0;0;0
Morocco;Bulgaria;0;0;0
Yugoslavia;Bulgaria;0;0;0
Slovakia;Bulgaria;232;0;0
Monaco;Bulgaria;116;0;0
Serbia and Montenegro;Bulgaria;116;0;0
Bosnia and Herzegovina;Croatia;812;498;85
Slovenia;Croatia;1218;626;86
Montenegro;Croatia;754;290;33
Serbia and Montenegro;Croatia;174;221;25
Macedonia;Croatia;1160;625;65
Austria;Croatia;986;509;38
Switzerland;Croatia;1160;625;39
Serbia;Croatia;870;290;17
Monaco;Croatia;174;221;11
Turkey;Croatia;754;495;23
Germany;Croatia;1276;696;30
Ukraine;Croatia;986;540;23
Romania;Croatia;1102;581;20
Russia;Croatia;1160;568;17
Italy;Croatia;638;201;6
Hungary;Croatia;870;405;12
Czech Republic;Croatia;638;290;8
Malta;Croatia;1276;696;19
Greece;Croatia;1218;626;15
Azerbaijan;Croatia;812;290;6
Albania;Croatia;1044;511;9
Latvia;Croatia;1276;696;12
Iceland;Croatia;1218;652;9
Ireland;Croatia;1218;652;9
Finland;Croatia;1160;625;8
Georgia;Croatia;812;245;3
San Marino;Croatia;696;245;3
France;Croatia;1276;696;8
Cyprus;Croatia;1218;654;7
Lithuania;Croatia;1160;597;6
Australia;Croatia;464;201;2
Belarus;Croatia;1044;511;5
United Kingdom;Croatia;1276;696;6
Netherlands;Croatia;1218;652;5
Moldova;Croatia;986;461;3
Bulgaria;Croatia;870;461;3
Portugal;Croatia;986;509;3
Armenia;Croatia;870;346;2
Poland;Croatia;1044;582;3
Norway;Croatia;1218;652;3
Israel;Croatia;1276;696;3
Estonia;Croatia;1276;696;2
Spain;Croatia;1276;696;2
Sweden;Croatia;1276;696;2
Slovakia;Croatia;232;45;0
Belgium;Croatia;1218;654;0
Denmark;Croatia;1218;667;0
Andorra;Croatia;348;310;0
Luxembourg;Croatia;0;0;0
Morocco;Croatia;0;0;0
Yugoslavia;Croatia;0;0;0
Greece;Cyprus;1218;1128;174
Armenia;Cyprus;928;747;50
Malta;Cyprus;1276;1136;67
Bulgaria;Cyprus;870;738;39
Georgia;Cyprus;870;812;34
Sweden;Cyprus;1276;1136;47
Russia;Cyprus;1160;1068;44
Albania;Cyprus;1102;1028;40
Spain;Cyprus;1276;1136;39
San Marino;Cyprus;754;785;24
Belarus;Cyprus;1102;1028;31
United Kingdom;Cyprus;1276;1136;34
Croatia;Cyprus;1218;1125;30
Estonia;Cyprus;1276;1136;30
Serbia;Cyprus;928;812;21
Ireland;Cyprus;1218;1051;27
Italy;Cyprus;696;785;20
Romania;Cyprus;1160;1040;26
Azerbaijan;Cyprus;870;812;19
Belgium;Cyprus;1276;1136;25
Slovakia;Cyprus;232;92;2
Finland;Cyprus;1218;1121;24
Macedonia;Cyprus;1218;1121;23
Iceland;Cyprus;1218;1051;21
Netherlands;Cyprus;1218;1051;20
Andorra;Cyprus;348;216;4
Serbia and Montenegro;Cyprus;174;216;4
Slovenia;Cyprus;1218;1128;20
Moldova;Cyprus;1044;858;15
Hungary;Cyprus;928;831;14
Montenegro;Cyprus;812;785;12
Lithuania;Cyprus;1160;1113;17
Germany;Cyprus;1276;1136;17
Poland;Cyprus;1044;978;13
Denmark;Cyprus;1218;1121;13
Latvia;Cyprus;1276;1136;13
Norway;Cyprus;1218;1051;12
Czech Republic;Cyprus;696;720;8
Switzerland;Cyprus;1218;1121;12
Australia;Cyprus;522;720;7
Portugal;Cyprus;986;947;9
Monaco;Cyprus;174;216;2
Ukraine;Cyprus;986;923;8
Israel;Cyprus;1276;1136;9
France;Cyprus;1276;1136;8
Austria;Cyprus;1044;1109;7
Turkey;Cyprus;696;416;1
Bosnia and Herzegovina;Cyprus;754;504;0
Luxembourg;Cyprus;0;0;0
Morocco;Cyprus;0;0;0
Yugoslavia;Cyprus;0;0;0
Bosnia and Herzegovina;Czech Republic;290;41;6
Croatia;Czech Republic;638;479;26
Iceland;Czech Republic;696;479;24
Slovenia;Czech Republic;696;479;23
Hungary;Czech Republic;696;479;22
Austria;Czech Republic;580;479;22
Ukraine;Czech Republic;522;322;14
Spain;Czech Republic;696;479;20
Armenia;Czech Republic;696;479;18
Bulgaria;Czech Republic;522;322;11
Moldova;Czech Republic;696;479;16
Norway;Czech Republic;696;479;16
Lithuania;Czech Republic;696;479;15
Belgium;Czech Republic;696;479;14
Cyprus;Czech Republic;696;479;13
Estonia;Czech Republic;696;479;13
Israel;Czech Republic;696;479;13
Romania;Czech Republic;580;438;11
Finland;Czech Republic;696;479;12
Georgia;Czech Republic;638;479;12
Belarus;Czech Republic;696;479;11
Australia;Czech Republic;522;479;11
Portugal;Czech Republic;580;438;10
Netherlands;Czech Republic;696;479;10
San Marino;Czech Republic;580;479;10
Ireland;Czech Republic;696;479;9
Macedonia;Czech Republic;696;479;9
Poland;Czech Republic;696;479;9
Serbia;Czech Republic;696;479;9
Germany;Czech Republic;696;479;8
Malta;Czech Republic;696;479;8
France;Czech Republic;696;479;7
Greece;Czech Republic;696;479;7
Latvia;Czech Republic;696;479;7
Sweden;Czech Republic;696;479;7
Denmark;Czech Republic;696;479;6
United Kingdom;Czech Republic;696;479;6
Azerbaijan;Czech Republic;638;479;6
Italy;Czech Republic;522;479;4
Russia;Czech Republic;580;479;2
Albania;Czech Republic;696;479;1
Montenegro;Czech Republic;696;479;1
Switzerland;Czech Republic;696;479;0
Luxembourg;Czech Republic;0;0;0
Monaco;Czech Republic;0;0;0
Morocco;Czech Republic;0;0;0
Serbia and Montenegro;Czech Republic;0;0;0
Yugoslavia;Czech Republic;0;0;0
Andorra;Czech Republic;174;0;0
Turkey;Czech Republic;174;0;0
Slovakia;Czech Republic;58;0;0
Iceland;Denmark;1276;1739;126
Norway;Denmark;1276;1739;112
Sweden;Denmark;1334;1746;105
Monaco;Denmark;174;151;10
Netherlands;Denmark;1276;1739;81
Hungary;Denmark;986;1192;56
Italy;Denmark;754;933;42
Australia;Denmark;522;423;23
Slovenia;Denmark;1276;1551;70
Ireland;Denmark;1276;1739;74
Estonia;Denmark;1334;1746;75
United Kingdom;Denmark;1334;1746;72
Latvia;Denmark;1334;1746;70
Poland;Denmark;1102;1242;51
Slovakia;Denmark;232;378;13
Germany;Denmark;1334;1746;67
Finland;Denmark;1276;1569;52
Israel;Denmark;1334;1746;55
Malta;Denmark;1334;1746;49
Andorra;Denmark;348;285;8
Czech Republic;Denmark;696;557;15
Luxembourg;Denmark;0;0;0
Morocco;Denmark;0;0;0
Yugoslavia;Denmark;0;0;0
France;Denmark;1334;1746;45
Belgium;Denmark;1276;1569;38
Spain;Denmark;1334;1746;42
Romania;Denmark;1160;1569;36
Montenegro;Denmark;870;933;19
Portugal;Denmark;1044;1263;26
Lithuania;Denmark;1276;1551;31
Serbia;Denmark;928;1142;19
Ukraine;Denmark;986;1247;21
Georgia;Denmark;928;1142;17
Croatia;Denmark;1218;1672;29
Austria;Denmark;1044;1260;20
San Marino;Denmark;812;993;13
Cyprus;Denmark;1218;1495;20
Macedonia;Denmark;1276;1569;21
Belarus;Denmark;1160;1367;15
Russia;Denmark;1218;1669;24
Switzerland;Denmark;1276;1569;19
Moldova;Denmark;1102;1367;15
Armenia;Denmark;986;1221;10
Greece;Denmark;1276;1551;13
Azerbaijan;Denmark;928;1216;9
Bulgaria;Denmark;870;1173;9
Serbia and Montenegro;Denmark;174;151;0
Albania;Denmark;1160;1367;3
Bosnia and Herzegovina;Denmark;754;773;0
Turkey;Denmark;696;968;6
Latvia;Estonia;1392;1160;105
Finland;Estonia;1276;948;83
Slovakia;Estonia;232;293;22
Lithuania;Estonia;1276;1048;71
Ireland;Estonia;1334;1049;54
Sweden;Estonia;1392;1160;54
Iceland;Estonia;1334;1049;47
Denmark;Estonia;1334;1146;50
Moldova;Estonia;1102;739;28
Russia;Estonia;1276;1160;41
Israel;Estonia;1392;1160;38
Netherlands;Estonia;1334;1049;34
United Kingdom;Estonia;1392;1160;36
Turkey;Estonia;754;714;22
Georgia;Estonia;928;610;18
Portugal;Estonia;1102;932;27
Italy;Estonia;754;610;17
Poland;Estonia;1160;812;22
Norway;Estonia;1334;1049;28
Australia;Estonia;522;427;11
Germany;Estonia;1392;1160;28
Bosnia and Herzegovina;Estonia;812;616;14
Greece;Estonia;1334;1062;24
Slovenia;Estonia;1334;1062;24
France;Estonia;1392;1160;25
Macedonia;Estonia;1276;948;20
Malta;Estonia;1392;1160;24
Belarus;Estonia;1160;739;15
Ukraine;Estonia;1044;571;11
Croatia;Estonia;1276;1054;20
Hungary;Estonia;986;739;13
Spain;Estonia;1392;1160;20
Austria;Estonia;1102;833;14
Cyprus;Estonia;1276;962;16
Serbia;Estonia;928;739;11
Azerbaijan;Estonia;928;739;11
Czech Republic;Estonia;696;556;7
Romania;Estonia;1218;962;12
Albania;Estonia;1160;739;8
Switzerland;Estonia;1276;948;10
Belgium;Estonia;1334;962;10
Montenegro;Estonia;870;695;6
San Marino;Estonia;812;610;5
Bulgaria;Estonia;870;557;2
Armenia;Estonia;986;619;2
Andorra;Estonia;348;129;0
Luxembourg;Estonia;0;0;0
Morocco;Estonia;0;0;0
Yugoslavia;Estonia;0;0;0
Monaco;Estonia;174;0;0
Serbia and Montenegro;Estonia;174;0;0
Estonia;Finland;1276;632;69
Sweden;Finland;1276;632;69
Iceland;Finland;1218;608;57
Australia;Finland;522;46;4
Norway;Finland;1218;608;39
Andorra;Finland;348;402;21
Denmark;Finland;1276;632;30
Poland;Finland;1044;577;22
United Kingdom;Finland;1276;632;22
Italy;Finland;754;188;6
Germany;Finland;1276;632;18
Switzerland;Finland;1276;632;18
San Marino;Finland;812;223;6
Israel;Finland;1276;632;17
Lithuania;Finland;1218;614;16
