ID;Year;Which contest;Edition;Jury or televoting;From;To;Points;Is duplicate
226;1975;f;1975f;J;Portugal;Turkey;0;0
227;1975;f;1975f;J;Portugal;United Kingdom;5;0
228;1975;f;1975f;J;Portugal;Yugoslavia;1;0
229;1975;f;1975f;J;Spain;Belgium;0;0
230;1975;f;1975f;J;Spain;Finland;1;0
231;1975;f;1975f;J;Spain;France;8;0
232;1975;f;1975f;J;Spain;Germany;4;0
233;1975;f;1975f;J;Spain;Ireland;3;0
234;1975;f;1975f;J;Spain;Israel;0;0
235;1975;f;1975f;J;Spain;Italy;7;0
236;1975;f;1975f;J;Spain;Luxembourg;6;0
237;1975;f;1975f;J;Spain;Malta;0;0
238;1975;f;1975f;J;Spain;Monaco;0;0
239;1975;f;1975f;J;Spain;Norway;0;0
240;1975;f;1975f;J;Spain;Portugal;2;0
241;1975;f;1975f;J;Spain;Spain;0;1
242;1975;f;1975f;J;Spain;Sweden;5;0
243;1975;f;1975f;J;Spain;Switzerland;0;0
244;1975;f;1975f;J;Spain;Netherlands;12;0
245;1975;f;1975f;J;Spain;Turkey;0;0
246;1975;f;1975f;J;Spain;United Kingdom;10;0
247;1975;f;1975f;J;Spain;Yugoslavia;0;0
248;1975;f;1975f;J;Sweden;Belgium;2;0
249;1975;f;1975f;J;Sweden;Finland;3;0
250;1975;f;1975f;J;Sweden;France;8;0
251;1975;f;1975f;J;Sweden;Germany;0;0
252;1975;f;1975f;J;Sweden;Ireland;10;0
253;1975;f;1975f;J;Sweden;Israel;6;0
254;1975;f;1975f;J;Sweden;Italy;1;0
255;1975;f;1975f;J;Sweden;Luxembourg;4;0
256;1975;f;1975f;J;Sweden;Malta;0;0
257;1975;f;1975f;J;Sweden;Monaco;0;0
258;1975;f;1975f;J;Sweden;Norway;0;0
259;1975;f;1975f;J;Sweden;Portugal;0;0
260;1975;f;1975f;J;Sweden;Spain;0;0
261;1975;f;1975f;J;Sweden;Sweden;0;1
262;1975;f;1975f;J;Sweden;Switzerland;0;0
263;1975;f;1975f;J;Sweden;Netherlands;12;0
264;1975;f;1975f;J;Sweden;Turkey;0;0
265;1975;f;1975f;J;Sweden;United Kingdom;5;0
266;1975;f;1975f;J;Sweden;Yugoslavia;7;0
267;1975;f;1975f;J;Switzerland;Belgium;0;0
268;1975;f;1975f;J;Switzerland;Finland;12;0
269;1975;f;1975f;J;Switzerland;France;3;0
270;1975;f;1975f;J;Switzerland;Germany;0;0
271;1975;f;1975f;J;Switzerland;Ireland;7;0
272;1975;f;1975f;J;Switzerland;Israel;2;0
273;1975;f;1975f;J;Switzerland;Italy;10;0
274;1975;f;1975f;J;Switzerland;Luxembourg;0;0
275;1975;f;1975f;J;Switzerland;Malta;4;0
276;1975;f;1975f;J;Switzerland;Monaco;0;0
277;1975;f;1975f;J;Switzerland;Norway;0;0
278;1975;f;1975f;J;Switzerland;Portugal;0;0
279;1975;f;1975f;J;Switzerland;Spain;5;0
280;1975;f;1975f;J;Switzerland;Sweden;1;0
281;1975;f;1975f;J;Switzerland;Switzerland;0;1
282;1975;f;1975f;J;Switzerland;Netherlands;6;0
283;1975;f;1975f;J;Switzerland;Turkey;0;0
284;1975;f;1975f;J;Switzerland;United Kingdom;8;0
285;1975;f;1975f;J;Switzerland;Yugoslavia;0;0
286;1975;f;1975f;J;Netherlands;Belgium;5;0
287;1975;f;1975f;J;Netherlands;Finland;0;0
288;1975;f;1975f;J;Netherlands;France;8;0
289;1975;f;1975f;J;Netherlands;Germany;0;0
290;1975;f;1975f;J;Netherlands;Ireland;6;0
291;1975;f;1975f;J;Netherlands;Israel;10;0
292;1975;f;1975f;J;Netherlands;Italy;0;0
293;1975;f;1975f;J;Netherlands;Luxembourg;12;0
294;1975;f;1975f;J;Netherlands;Malta;1;0
295;1975;f;1975f;J;Netherlands;Monaco;0;0
296;1975;f;1975f;J;Netherlands;Norway;2;0
297;1975;f;1975f;J;Netherlands;Portugal;0;0
298;1975;f;1975f;J;Netherlands;Spain;0;0
299;1975;f;1975f;J;Netherlands;Sweden;0;0
300;1975;f;1975f;J;Netherlands;Switzerland;7;0
301;1975;f;1975f;J;Netherlands;Netherlands;0;1
302;1975;f;1975f;J;Netherlands;Turkey;0;0
303;1975;f;1975f;J;Netherlands;United Kingdom;4;0
304;1975;f;1975f;J;Netherlands;Yugoslavia;3;0
305;1975;f;1975f;J;Turkey;Belgium;0;0
306;1975;f;1975f;J;Turkey;Finland;0;0
307;1975;f;1975f;J;Turkey;France;1;0
308;1975;f;1975f;J;Turkey;Germany;0;0
309;1975;f;1975f;J;Turkey;Ireland;0;0
310;1975;f;1975f;J;Turkey;Israel;6;0
311;1975;f;1975f;J;Turkey;Italy;10;0
312;1975;f;1975f;J;Turkey;Luxembourg;5;0
313;1975;f;1975f;J;Turkey;Malta;2;0
314;1975;f;1975f;J;Turkey;Monaco;0;0
315;1975;f;1975f;J;Turkey;Norway;0;0
316;1975;f;1975f;J;Turkey;Portugal;12;0
317;1975;f;1975f;J;Turkey;Spain;3;0
318;1975;f;1975f;J;Turkey;Sweden;8;0
319;1975;f;1975f;J;Turkey;Switzerland;7;0
320;1975;f;1975f;J;Turkey;Netherlands;4;0
321;1975;f;1975f;J;Turkey;Turkey;0;1
322;1975;f;1975f;J;Turkey;United Kingdom;0;0
323;1975;f;1975f;J;Turkey;Yugoslavia;0;0
324;1975;f;1975f;J;United Kingdom;Belgium;0;0
325;1975;f;1975f;J;United Kingdom;Finland;4;0
326;1975;f;1975f;J;United Kingdom;France;8;0
327;1975;f;1975f;J;United Kingdom;Germany;0;0
328;1975;f;1975f;J;United Kingdom;Ireland;6;0
329;1975;f;1975f;J;United Kingdom;Israel;1;0
330;1975;f;1975f;J;United Kingdom;Italy;10;0
331;1975;f;1975f;J;United Kingdom;Luxembourg;3;0
332;1975;f;1975f;J;United Kingdom;Malta;0;0
333;1975;f;1975f;J;United Kingdom;Monaco;2;0
334;1975;f;1975f;J;United Kingdom;Norway;0;0
335;1975;f;1975f;J;United Kingdom;Portugal;0;0
336;1975;f;1975f;J;United Kingdom;Spain;0;0
337;1975;f;1975f;J;United Kingdom;Sweden;7;0
338;1975;f;1975f;J;United Kingdom;Switzerland;5;0
339;1975;f;1975f;J;United Kingdom;Netherlands;12;0
340;1975;f;1975f;J;United Kingdom;Turkey;0;0
341;1975;f;1975f;J;United Kingdom;United Kingdom;0;1
342;1975;f;1975f;J;United Kingdom;Yugoslavia;0;0
343;1975;f;1975f;J;Yugoslavia;Belgium;3;0
344;1975;f;1975f;J;Yugoslavia;Finland;5;0
345;1975;f;1975f;J;Yugoslavia;France;0;0
346;1975;f;1975f;J;Yugoslavia;Germany;0;0
347;1975;f;1975f;J;Yugoslavia;Ireland;1;0
348;1975;f;1975f;J;Yugoslavia;Israel;0;0
349;1975;f;1975f;J;Yugoslavia;Italy;10;0
350;1975;f;1975f;J;Yugoslavia;Luxembourg;7;0
351;1975;f;1975f;J;Yugoslavia;Malta;2;0
352;1975;f;1975f;J;Yugoslavia;Monaco;0;0
353;1975;f;1975f;J;Yugoslavia;Norway;0;0
354;1975;f;1975f;J;Yugoslavia;Portugal;0;0
355;1975;f;1975f;J;Yugoslavia;Spain;4;0
356;1975;f;1975f;J;Yugoslavia;Sweden;6;0
357;1975;f;1975f;J;Yugoslavia;Switzerland;0;0
358;1975;f;1975f;J;Yugoslavia;Netherlands;8;0
359;1975;f;1975f;J;Yugoslavia;Turkey;0;0
360;1975;f;1975f;J;Yugoslavia;United Kingdom;12;0
361;1975;f;1975f;J;Yugoslavia;Yugoslavia;0;1
362;1976;f;1976f;J;Austria;Austria;0;1
363;1976;f;1976f;J;Austria;Belgium;3;0
364;1976;f;1976f;J;Austria;Finland;7;0
365;1976;f;1976f;J;Austria;France;12;0
366;1976;f;1976f;J;Austria;Germany;0;0
367;1976;f;1976f;J;Austria;Greece;0;0
368;1976;f;1976f;J;Austria;Ireland;2;0
369;1976;f;1976f;J;Austria;Israel;6;0
370;1976;f;1976f;J;Austria;Italy;1;0
371;1976;f;1976f;J;Austria;Luxembourg;0;0
372;1976;f;1976f;J;Austria;Monaco;5;0
373;1976;f;1976f;J;Austria;Norway;0;0
374;1976;f;1976f;J;Austria;Portugal;0;0
375;1976;f;1976f;J;Austria;Spain;0;0
376;1976;f;1976f;J;Austria;Switzerland;8;0
377;1976;f;1976f;J;Austria;Netherlands;4;0
378;1976;f;1976f;J;Austria;United Kingdom;10;0
379;1976;f;1976f;J;Austria;Yugoslavia;0;0
380;1976;f;1976f;J;Belgium;Austria;3;0
381;1976;f;1976f;J;Belgium;Belgium;0;1
382;1976;f;1976f;J;Belgium;Finland;0;0
383;1976;f;1976f;J;Belgium;France;10;0
384;1976;f;1976f;J;Belgium;Germany;1;0
385;1976;f;1976f;J;Belgium;Greece;2;0
386;1976;f;1976f;J;Belgium;Ireland;0;0
387;1976;f;1976f;J;Belgium;Israel;5;0
388;1976;f;1976f;J;Belgium;Italy;0;0
389;1976;f;1976f;J;Belgium;Luxembourg;6;0
390;1976;f;1976f;J;Belgium;Monaco;8;0
391;1976;f;1976f;J;Belgium;Norway;0;0
392;1976;f;1976f;J;Belgium;Portugal;0;0
393;1976;f;1976f;J;Belgium;Spain;0;0
394;1976;f;1976f;J;Belgium;Switzerland;7;0
395;1976;f;1976f;J;Belgium;Netherlands;4;0
396;1976;f;1976f;J;Belgium;United Kingdom;12;0
397;1976;f;1976f;J;Belgium;Yugoslavia;0;0
398;1976;f;1976f;J;Finland;Austria;5;0
399;1976;f;1976f;J;Finland;Belgium;12;0
400;1976;f;1976f;J;Finland;Finland;0;1
401;1976;f;1976f;J;Finland;France;3;0
402;1976;f;1976f;J;Finland;Germany;0;0
403;1976;f;1976f;J;Finland;Greece;4;0
404;1976;f;1976f;J;Finland;Ireland;0;0
405;1976;f;1976f;J;Finland;Israel;8;0
406;1976;f;1976f;J;Finland;Italy;6;0
407;1976;f;1976f;J;Finland;Luxembourg;0;0
408;1976;f;1976f;J;Finland;Monaco;2;0
409;1976;f;1976f;J;Finland;Norway;0;0
410;1976;f;1976f;J;Finland;Portugal;1;0
411;1976;f;1976f;J;Finland;Spain;0;0
412;1976;f;1976f;J;Finland;Switzerland;7;0
413;1976;f;1976f;J;Finland;Netherlands;0;0
414;1976;f;1976f;J;Finland;United Kingdom;10;0
415;1976;f;1976f;J;Finland;Yugoslavia;0;0
416;1976;f;1976f;J;France;Austria;0;0
417;1976;f;1976f;J;France;Belgium;5;0
418;1976;f;1976f;J;France;Finland;0;0
419;1976;f;1976f;J;France;France;0;1
420;1976;f;1976f;J;France;Germany;2;0
421;1976;f;1976f;J;France;Greece;8;0
422;1976;f;1976f;J;France;Ireland;3;0
423;1976;f;1976f;J;France;Israel;0;0
424;1976;f;1976f;J;France;Italy;10;0
425;1976;f;1976f;J;France;Luxembourg;0;0
426;1976;f;1976f;J;France;Monaco;0;0
427;1976;f;1976f;J;France;Norway;0;0
428;1976;f;1976f;J;France;Portugal;12;0
429;1976;f;1976f;J;France;Spain;1;0
430;1976;f;1976f;J;France;Switzerland;6;0
431;1976;f;1976f;J;France;Netherlands;0;0
432;1976;f;1976f;J;France;United Kingdom;7;0
433;1976;f;1976f;J;France;Yugoslavia;4;0
434;1976;f;1976f;J;Germany;Austria;10;0
435;1976;f;1976f;J;Germany;Belgium;0;0
436;1976;f;1976f;J;Germany;Finland;6;0
437;1976;f;1976f;J;Germany;France;12;0
438;1976;f;1976f;J;Germany;Germany;0;1
439;1976;f;1976f;J;Germany;Greece;0;0
440;1976;f;1976f;J;Germany;Ireland;1;0
441;1976;f;1976f;J;Germany;Israel;3;0
442;1976;f;1976f;J;Germany;Italy;0;0
443;1976;f;1976f;J;Germany;Luxembourg;0;0
444;1976;f;1976f;J;Germany;Monaco;7;0
445;1976;f;1976f;J;Germany;Norway;0;0
446;1976;f;1976f;J;Germany;Portugal;0;0
447;1976;f;1976f;J;Germany;Spain;0;0
448;1976;f;1976f;J;Germany;Switzerland;5;0
449;1976;f;1976f;J;Germany;Netherlands;4;0
450;1976;f;1976f;J;Germany;United Kingdom;8;0
451;1976;f;1976f;J;Germany;Yugoslavia;2;0
452;1976;f;1976f;J;Greece;Austria;6;0
453;1976;f;1976f;J;Greece;Belgium;0;0
454;1976;f;1976f;J;Greece;Finland;0;0
455;1976;f;1976f;J;Greece;France;5;0
456;1976;f;1976f;J;Greece;Germany;0;0
457;1976;f;1976f;J;Greece;Greece;0;1
458;1976;f;1976f;J;Greece;Ireland;8;0
459;1976;f;1976f;J;Greece;Israel;0;0
460;1976;f;1976f;J;Greece;Italy;10;0
461;1976;f;1976f;J;Greece;Luxembourg;0;0
462;1976;f;1976f;J;Greece;Monaco;0;0
463;1976;f;1976f;J;Greece;Norway;0;0
464;1976;f;1976f;J;Greece;Portugal;4;0
465;1976;f;1976f;J;Greece;Spain;1;0
466;1976;f;1976f;J;Greece;Switzerland;2;0
467;1976;f;1976f;J;Greece;Netherlands;7;0
468;1976;f;1976f;J;Greece;United Kingdom;12;0
469;1976;f;1976f;J;Greece;Yugoslavia;3;0
470;1976;f;1976f;J;Ireland;Austria;10;0
471;1976;f;1976f;J;Ireland;Belgium;0;0
472;1976;f;1976f;J;Ireland;Finland;5;0
473;1976;f;1976f;J;Ireland;France;7;0
474;1976;f;1976f;J;Ireland;Germany;0;0
475;1976;f;1976f;J;Ireland;Greece;0;0
476;1976;f;1976f;J;Ireland;Ireland;0;1
477;1976;f;1976f;J;Ireland;Israel;4;0
478;1976;f;1976f;J;Ireland;Italy;12;0
479;1976;f;1976f;J;Ireland;Luxembourg;6;0
480;1976;f;1976f;J;Ireland;Monaco;8;0
481;1976;f;1976f;J;Ireland;Norway;0;0
482;1976;f;1976f;J;Ireland;Portugal;0;0
483;1976;f;1976f;J;Ireland;Spain;0;0
484;1976;f;1976f;J;Ireland;Switzerland;1;0
485;1976;f;1976f;J;Ireland;Netherlands;2;0
486;1976;f;1976f;J;Ireland;United Kingdom;3;0
487;1976;f;1976f;J;Ireland;Yugoslavia;0;0
488;1976;f;1976f;J;Israel;Austria;10;0
489;1976;f;1976f;J;Israel;Belgium;1;0
490;1976;f;1976f;J;Israel;Finland;6;0
491;1976;f;1976f;J;Israel;France;5;0
492;1976;f;1976f;J;Israel;Germany;0;0
493;1976;f;1976f;J;Israel;Greece;0;0
494;1976;f;1976f;J;Israel;Ireland;3;0
495;1976;f;1976f;J;Israel;Israel;0;1
496;1976;f;1976f;J;Israel;Italy;2;0
497;1976;f;1976f;J;Israel;Luxembourg;0;0
498;1976;f;1976f;J;Israel;Monaco;7;0
499;1976;f;1976f;J;Israel;Norway;0;0
500;1976;f;1976f;J;Israel;Portugal;0;0
501;1976;f;1976f;J;Israel;Spain;0;0
502;1976;f;1976f;J;Israel;Switzerland;4;0
503;1976;f;1976f;J;Israel;Netherlands;8;0
504;1976;f;1976f;J;Israel;United Kingdom;12;0
505;1976;f;1976f;J;Israel;Yugoslavia;0;0
506;1976;f;1976f;J;Italy;Austria;0;0
507;1976;f;1976f;J;Italy;Belgium;8;0
508;1976;f;1976f;J;Italy;Finland;0;0
509;1976;f;1976f;J;Italy;France;6;0
510;1976;f;1976f;J;Italy;Germany;0;0
511;1976;f;1976f;J;Italy;Greece;5;0
512;1976;f;1976f;J;Italy;Ireland;12;0
513;1976;f;1976f;J;Italy;Israel;10;0
514;1976;f;1976f;J;Italy;Italy;0;1
515;1976;f;1976f;J;Italy;Luxembourg;0;0
516;1976;f;1976f;J;Italy;Monaco;7;0
517;1976;f;1976f;J;Italy;Norway;0;0
518;1976;f;1976f;J;Italy;Portugal;1;0
519;1976;f;1976f;J;Italy;Spain;3;0
520;1976;f;1976f;J;Italy;Switzerland;0;0
521;1976;f;1976f;J;Italy;Netherlands;2;0
522;1976;f;1976f;J;Italy;United Kingdom;4;0
523;1976;f;1976f;J;Italy;Yugoslavia;0;0
